时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,97.0,21.41,0.055999999999999994,302.0,235.0,190.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,96.9,21.31,0.042,301.0,234.0,190.0,-1.4147106052613119,-2.333333333333332e-05,-0.0001666666666666572,-1.0,0.0
0.4,0.04,96.8,21.28,0.051,301.0,235.0,190.0,-1.8391237868396653,-8.333333333333329e-06,-0.0003333333333333381,0.0,0.0
0.61,0.06,96.7,21.49,0.057,301.0,235.0,189.0,1.1317684842090094,1.6666666666666798e-06,-0.0004999999999999952,0.0,-1.0
0.81,0.08,96.6,21.8,0.057999999999999996,301.0,235.0,190.0,5.517371360519046,3.3333333333333363e-06,-0.0006666666666666762,0.0,0.0
1.01,0.1,96.6,22.6,0.099,302.0,235.0,190.0,16.83505620260939,7.166666666666668e-05,-0.0006666666666666762,0.0,0.0
1.21,0.12,96.6,23.04,0.11,302.0,235.0,189.0,23.059782865759043,9e-05,-0.0006666666666666762,0.0,-1.0
1.41,0.14,96.6,23.52,0.127,301.0,235.0,189.0,29.850393771013252,0.00011833333333333334,-0.0006666666666666762,0.0,-1.0
1.62,0.16,96.6,24.33,0.16,301.0,235.0,189.0,41.3095496736297,0.00017333333333333334,-0.0006666666666666762,0.0,-1.0
1.82,0.18,96.7,25.14,0.207,301.0,235.0,190.0,52.76870557624619,0.00025166666666666664,-0.0004999999999999952,0.0,0.0
2.02,0.2,96.9,25.61,0.226,301.0,235.0,190.0,59.417845420974245,0.00028333333333333335,-0.0001666666666666572,0.0,0.0
2.22,0.22,96.8,25.93,0.23800000000000002,301.0,235.0,190.0,63.944919357810384,0.00030333333333333335,-0.0003333333333333381,0.0,0.0
2.42,0.24,96.8,26.5,0.284,301.0,236.0,190.0,72.00876980779975,0.00037999999999999997,-0.0003333333333333381,1.0,0.0
2.63,0.26,97.0,26.85,0.287,301.0,236.0,190.0,76.9602569262143,0.000385,0.0,1.0,0.0
2.83,0.28,96.9,26.94,0.301,301.0,235.0,190.0,78.23349647094946,0.0004083333333333333,-0.0001666666666666572,0.0,0.0
3.03,0.3,97.0,27.2,0.307,301.0,235.0,190.0,81.91174404462879,0.00041833333333333333,0.0,0.0,0.0
