,时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1
0,0.0,0.0,142.9,21.47,-4.51,304,230,208,0.0,0.0
1,0.2,0.02,142.9,21.34,-4.495,304,230,209,0.02,0.0
2,0.4,0.04,142.9,21.54,-4.481,304,231,209,0.04,0.0
3,0.61,0.06,142.9,22.21,-4.47,304,231,209,0.06,0.0
4,0.81,0.08,142.9,23.01,-4.475,304,231,209,0.08,0.0
5,1.01,0.1,143.0,23.86,-4.444,304,231,209,0.1,0.09999999999999432
6,1.21,0.12,143.0,25.45,-4.405,304,230,209,0.12,0.09999999999999432
7,1.41,0.14,143.0,26.34,-4.37,303,230,209,0.14,0.09999999999999432
8,1.62,0.16,143.0,26.96,-4.353,304,230,208,0.16,0.09999999999999432
9,1.82,0.18,143.1,27.85,-4.332,304,230,208,0.18,0.19999999999998863
10,2.02,0.2,143.1,29.16,-4.29,304,229,208,0.2,0.19999999999998863
11,2.22,0.22,143.1,29.69,-4.2780000000000005,304,229,207,0.22,0.19999999999998863
12,2.42,0.24,143.1,29.94,-4.236000000000001,305,229,207,0.24,0.19999999999998863
13,2.63,0.26,143.2,30.68,-4.208,304,229,207,0.26,0.29999999999998295
14,2.83,0.28,143.2,30.9,-4.21,304,228,207,0.28,0.29999999999998295
15,3.03,0.3,143.2,30.99,-4.19,304,228,207,0.3,0.29999999999998295
16,3.23,0.32,143.1,31.05,-4.218999999999999,304,228,207,0.32,0.19999999999998863
17,3.43,0.34,143.2,31.0,-4.195,304,228,207,0.34,0.29999999999998295
18,3.64,0.36,143.2,30.97,-4.191,304,228,207,0.36,0.29999999999998295
19,3.84,0.38,143.2,30.83,-4.199,304,228,207,0.38,0.29999999999998295
20,4.04,0.4,143.2,30.18,-4.191,303,228,207,0.4,0.29999999999998295
21,4.24,0.42,143.2,29.53,-4.194,304,228,206,0.42,0.29999999999998295
22,4.44,0.44,143.1,28.86,-4.207,304,228,207,0.44,0.19999999999998863
23,4.65,0.46,143.2,27.02,-4.246,303,228,207,0.46,0.29999999999998295
24,4.85,0.48,143.2,26.12,-4.266,303,229,207,0.48,0.29999999999998295
25,5.05,0.5,143.1,25.17,-4.293,303,228,207,0.5,0.19999999999998863
26,5.25,0.52,143.1,24.23,-4.323,303,228,207,0.52,0.19999999999998863
27,5.45,0.54,143.0,22.28,-4.382,303,229,207,0.54,0.09999999999999432
28,5.66,0.56,143.0,21.18,-4.409,302,229,208,0.56,0.09999999999999432
29,5.86,0.58,143.0,20.21,-4.422,302,230,208,0.58,0.09999999999999432
30,6.06,0.6,142.8,18.7,-4.563,301,231,209,0.6,-0.09999999999999432
31,6.26,0.62,142.8,17.97,-4.5969999999999995,301,232,210,0.62,-0.09999999999999432
32,6.46,0.64,142.7,17.13,-4.647,301,233,211,0.64,-0.20000000000001705
33,6.67,0.66,142.7,16.66,-4.7139999999999995,301,234,213,0.66,-0.20000000000001705
34,6.87,0.68,142.6,15.4,-4.833,301,236,214,0.68,-0.30000000000001137
35,7.07,0.7,142.5,15.02,-4.887,300,237,215,0.7000000000000001,-0.4000000000000057
36,7.27,0.72,142.4,14.52,-4.96,301,238,216,0.72,-0.5
37,7.47,0.74,142.3,13.74,-5.053,300,240,218,0.74,-0.5999999999999943
38,7.68,0.76,142.2,13.38,-5.115,300,241,219,0.76,-0.700000000000017
39,7.88,0.78,142.2,13.2,-5.1579999999999995,301,242,219,0.78,-0.700000000000017
40,8.08,0.8,142.0,12.78,-5.2829999999999995,301,244,221,0.8,-0.9000000000000057
41,8.28,0.82,142.0,12.62,-5.309,302,244,222,0.8200000000000001,-0.9000000000000057
42,8.48,0.84,141.9,12.65,-5.324,301,245,222,0.84,-1.0
43,8.69,0.86,142.0,12.63,-5.346,301,245,222,0.86,-0.9000000000000057
44,8.89,0.88,141.9,12.7,-5.358,302,245,222,0.88,-1.0
45,9.09,0.9,142.0,12.73,-5.381,302,245,222,0.9,-0.9000000000000057
46,9.29,0.92,141.9,12.8,-5.386,302,245,223,0.92,-1.0
47,9.49,0.94,141.9,13.27,-5.377000000000001,303,246,223,0.9400000000000001,-1.0
48,9.7,0.96,141.9,13.9,-5.345,302,246,223,0.96,-1.0
49,9.9,0.99,142.0,14.54,-5.306,302,246,223,0.98,-0.9000000000000057
50,10.1,1.01,142.0,15.12,-5.257000000000001,303,246,223,1.0,-0.9000000000000057
51,10.3,1.03,142.1,16.85,-5.132999999999999,303,246,223,1.02,-0.8000000000000114
52,10.5,1.05,142.2,17.76,-5.044,303,246,223,1.04,-0.700000000000017
53,10.71,1.07,142.4,18.83,-4.968999999999999,304,244,221,1.06,-0.5
54,10.91,1.09,142.6,21.13,-4.7860000000000005,305,241,219,1.08,-0.30000000000001137
55,11.11,1.11,142.7,22.52,-4.69,305,240,218,1.1,-0.20000000000001705
56,11.31,1.13,142.8,23.77,-4.592,306,238,216,1.12,-0.09999999999999432
57,11.51,1.15,142.9,25.06,-4.5169999999999995,306,236,215,1.1400000000000001,0.0
58,11.72,1.17,143.0,27.47,-4.4,306,234,212,1.16,0.09999999999999432
59,11.92,1.19,143.0,28.27,-4.337,306,233,212,1.18,0.09999999999999432
60,12.12,1.21,143.1,29.27,-4.303,306,233,210,1.2,0.19999999999998863
61,12.32,1.23,143.2,30.49,-4.257,305,231,210,1.22,0.29999999999998295
62,12.52,1.25,143.2,30.92,-4.226,306,231,209,1.24,0.29999999999998295
63,12.73,1.27,143.2,31.14,-4.199,305,231,208,1.26,0.29999999999998295
64,12.93,1.29,143.2,31.44,-4.176,304,230,208,1.28,0.29999999999998295
65,13.13,1.31,143.2,31.47,-4.157,305,230,208,1.3,0.29999999999998295
66,13.33,1.33,143.2,31.46,-4.152,304,230,208,1.32,0.29999999999998295
67,13.53,1.35,143.2,31.45,-4.159,305,230,208,1.34,0.29999999999998295
68,13.74,1.37,143.2,31.29,-4.17,304,230,208,1.36,0.29999999999998295
69,13.94,1.39,143.2,31.23,-4.171,304,230,208,1.3800000000000001,0.29999999999998295
70,14.14,1.41,143.2,30.8,-4.17,304,230,208,1.4000000000000001,0.29999999999998295
71,14.34,1.43,143.2,29.4,-4.181,304,230,208,1.42,0.29999999999998295
72,14.54,1.45,143.2,28.45,-4.183,304,230,208,1.44,0.29999999999998295
73,14.75,1.47,143.2,27.56,-4.213,303,230,208,1.46,0.29999999999998295
74,14.95,1.49,143.2,26.66,-4.232,303,230,208,1.48,0.29999999999998295
75,15.15,1.51,143.1,24.51,-4.2669999999999995,303,231,208,1.5,0.19999999999998863
76,15.35,1.53,143.1,23.63,-4.317,303,230,209,1.52,0.19999999999998863
77,15.55,1.55,143.1,22.71,-4.348,302,231,209,1.54,0.19999999999998863
78,15.76,1.57,143.0,20.77,-4.419,302,232,210,1.56,0.09999999999999432
79,15.96,1.59,143.0,19.79,-4.463,302,233,210,1.58,0.09999999999999432
80,16.16,1.61,142.9,19.11,-4.531000000000001,301,233,211,1.6,0.0
81,16.36,1.63,142.8,17.44,-4.629,301,235,213,1.62,-0.09999999999999432
82,16.56,1.65,142.7,16.88,-4.704,301,236,214,1.6400000000000001,-0.20000000000001705
83,16.77,1.67,142.7,16.28,-4.746,301,237,215,1.6600000000000001,-0.20000000000001705
84,16.97,1.69,142.6,15.57,-4.817,301,238,216,1.68,-0.30000000000001137
85,17.17,1.71,142.5,14.58,-4.933,301,240,217,1.7,-0.4000000000000057
86,17.37,1.73,142.4,14.25,-5.0169999999999995,300,241,219,1.72,-0.5
87,17.57,1.75,142.3,13.83,-5.07,300,242,219,1.74,-0.5999999999999943
88,17.78,1.77,142.2,13.22,-5.17,301,243,221,1.76,-0.700000000000017
89,17.98,1.79,142.1,13.02,-5.2379999999999995,301,244,221,1.78,-0.8000000000000114
90,18.18,1.81,142.2,12.83,-5.247999999999999,301,245,222,1.8,-0.700000000000017
91,18.38,1.83,142.0,12.77,-5.287999999999999,301,245,222,1.82,-0.9000000000000057
92,18.58,1.85,142.1,12.62,-5.33,302,245,223,1.84,-0.8000000000000114
93,18.79,1.87,142.0,12.65,-5.334,302,245,223,1.86,-0.9000000000000057
94,18.99,1.89,142.0,12.72,-5.345,302,245,223,1.8800000000000001,-0.9000000000000057
95,19.19,1.91,142.0,12.74,-5.329,302,246,223,1.9000000000000001,-0.9000000000000057
96,19.39,1.93,142.0,12.91,-5.324,302,246,224,1.92,-0.9000000000000057
97,19.59,1.95,142.0,13.31,-5.306,302,246,224,1.94,-0.9000000000000057
98,19.8,1.97,142.0,14.79,-5.265,302,247,224,1.96,-0.9000000000000057
99,20.0,2.0,142.1,15.27,-5.207999999999999,302,246,224,1.98,-0.8000000000000114
100,20.2,2.02,142.2,16.2,-5.144,303,247,224,2.0,-0.700000000000017
101,20.4,2.04,142.2,16.91,-5.0569999999999995,303,246,224,2.02,-0.700000000000017
102,20.6,2.06,142.5,18.93,-4.8919999999999995,304,244,222,2.04,-0.4000000000000057
103,20.81,2.08,142.5,20.19,-4.811,304,243,220,2.06,-0.4000000000000057
104,21.01,2.1,142.7,21.37,-4.686,305,242,219,2.08,-0.20000000000001705
105,21.21,2.12,142.9,24.06,-4.516,306,238,216,2.1,0.0
106,21.41,2.14,142.9,25.32,-4.446000000000001,306,236,215,2.12,0.0
107,21.61,2.16,143.0,26.48,-4.395,306,236,214,2.14,0.09999999999999432
108,21.82,2.18,143.0,27.62,-4.328,306,235,213,2.16,0.09999999999999432
109,22.02,2.2,143.1,29.39,-4.235,306,233,211,2.18,0.19999999999998863
110,22.22,2.22,143.2,30.04,-4.217,306,232,211,2.2,0.29999999999998295
111,22.42,2.24,143.2,30.6,-4.198,305,232,210,2.22,0.29999999999998295
112,22.62,2.26,143.2,31.19,-4.157,305,232,210,2.24,0.29999999999998295
113,22.83,2.28,143.3,31.55,-4.14,305,231,209,2.2600000000000002,0.4000000000000057
114,23.03,2.3,143.3,31.47,-4.123,304,231,209,2.2800000000000002,0.4000000000000057
115,23.23,2.32,143.3,31.51,-4.128,304,231,209,2.3000000000000003,0.4000000000000057
116,23.43,2.34,143.3,31.45,-4.127,304,231,209,2.32,0.4000000000000057
117,23.63,2.36,143.3,31.48,-4.133,304,230,209,2.34,0.4000000000000057
118,23.84,2.38,143.3,31.37,-4.125,304,230,209,2.36,0.4000000000000057
119,24.04,2.4,143.3,30.79,-4.105,303,230,209,2.38,0.4000000000000057
120,24.24,2.42,143.3,30.03,-4.131,304,230,209,2.4,0.4000000000000057
121,24.44,2.44,143.3,29.35,-4.15,304,230,209,2.42,0.4000000000000057
122,24.64,2.46,143.2,27.59,-4.165,303,231,209,2.44,0.29999999999998295
123,24.85,2.48,143.2,26.62,-4.202,304,231,209,2.46,0.29999999999998295
124,25.05,2.5,143.2,25.45,-4.223,303,231,209,2.48,0.29999999999998295
125,25.25,2.52,143.2,24.57,-4.256,303,231,210,2.5,0.29999999999998295
126,25.45,2.54,143.1,22.66,-4.32,303,232,209,2.52,0.19999999999998863
127,25.65,2.56,143.1,21.75,-4.36,302,232,210,2.54,0.19999999999998863
128,25.86,2.58,143.0,20.76,-4.397,302,233,211,2.56,0.09999999999999432
129,26.06,2.6,142.9,19.04,-4.512,301,234,212,2.58,0.0
130,26.26,2.62,142.9,18.33,-4.542,302,235,213,2.6,0.0
131,26.46,2.64,142.8,17.49,-4.603,301,236,213,2.62,-0.09999999999999432
132,26.66,2.66,142.8,16.81,-4.6610000000000005,301,237,215,2.64,-0.09999999999999432
133,26.87,2.68,142.6,15.57,-4.776,300,239,216,2.66,-0.30000000000001137
134,27.07,2.7,142.6,15.11,-4.83,300,240,217,2.68,-0.30000000000001137
135,27.27,2.72,142.5,14.63,-4.895,301,241,218,2.7,-0.4000000000000057
136,27.47,2.74,142.4,13.88,-5.016,300,243,220,2.72,-0.5
137,27.67,2.76,142.3,13.52,-5.113,300,243,221,2.74,-0.5999999999999943
138,27.88,2.78,142.2,13.28,-5.16,300,244,222,2.7600000000000002,-0.700000000000017
139,28.08,2.8,142.1,12.77,-5.249,301,245,222,2.7800000000000002,-0.8000000000000114
140,28.28,2.82,142.1,12.64,-5.274,301,246,223,2.8000000000000003,-0.8000000000000114
141,28.48,2.84,142.1,12.58,-5.301,301,245,223,2.82,-0.8000000000000114
142,28.68,2.86,142.0,12.57,-5.316,302,246,223,2.84,-0.9000000000000057
143,28.89,2.88,142.0,12.71,-5.311,302,246,223,2.86,-0.9000000000000057
144,29.09,2.9,142.0,12.66,-5.325,302,246,224,2.88,-0.9000000000000057
145,29.29,2.92,142.0,12.74,-5.325,302,246,223,2.9,-0.9000000000000057
146,29.49,2.94,142.0,13.39,-5.3,302,247,224,2.92,-0.9000000000000057
147,29.69,2.96,142.1,13.99,-5.266,302,247,224,2.94,-0.8000000000000114
148,29.9,2.99,142.1,14.64,-5.231,302,247,225,2.96,-0.8000000000000114
149,30.1,3.01,142.2,15.18,-5.19,303,247,225,2.98,-0.700000000000017
150,30.3,3.03,142.3,16.98,-5.045,303,247,224,3.0,-0.5999999999999943
151,30.5,3.05,142.4,17.88,-4.966,303,246,223,3.02,-0.5
152,30.7,3.07,142.5,18.98,-4.868,304,244,222,3.04,-0.4000000000000057
153,30.91,3.09,142.7,21.49,-4.673,305,241,220,3.06,-0.20000000000001705
154,31.11,3.11,142.8,22.8,-4.581,305,240,218,3.08,-0.09999999999999432
155,31.31,3.13,142.9,23.96,-4.49,306,238,217,3.1,0.0
156,31.51,3.15,142.9,25.38,-4.416,306,237,216,3.12,0.0
157,31.71,3.17,143.0,27.66,-4.313,306,235,213,3.14,0.09999999999999432
158,31.92,3.19,143.2,28.56,-4.248,306,234,213,3.16,0.29999999999998295
159,32.12,3.21,143.2,29.28,-4.235,306,233,212,3.18,0.29999999999998295
160,32.32,3.23,143.3,30.52,-4.166,306,232,211,3.2,0.4000000000000057
161,32.52,3.25,143.3,30.96,-4.1419999999999995,305,232,210,3.22,0.4000000000000057
162,32.72,3.27,143.3,31.24,-4.127,305,232,210,3.24,0.4000000000000057
163,32.93,3.29,143.3,31.52,-4.1080000000000005,305,231,210,3.2600000000000002,0.4000000000000057
164,33.13,3.31,143.3,31.62,-4.109,305,231,210,3.2800000000000002,0.4000000000000057
165,33.33,3.33,143.3,31.58,-4.1080000000000005,304,231,209,3.3000000000000003,0.4000000000000057
166,33.53,3.35,143.3,31.45,-4.103,304,231,209,3.3200000000000003,0.4000000000000057
167,33.73,3.37,143.3,31.38,-4.099,304,231,209,3.34,0.4000000000000057
168,33.94,3.39,143.3,31.25,-4.101,304,231,209,3.36,0.4000000000000057
169,34.14,3.41,143.3,30.74,-4.101,304,231,209,3.38,0.4000000000000057
170,34.34,3.43,143.3,29.31,-4.105,304,231,209,3.4,0.4000000000000057
171,34.54,3.45,143.3,28.49,-4.127,304,231,209,3.42,0.4000000000000057
172,34.74,3.47,143.3,27.54,-4.159,303,231,210,3.44,0.4000000000000057
173,34.95,3.49,143.2,26.6,-4.189,303,231,209,3.46,0.29999999999998295
174,35.15,3.51,143.2,24.59,-4.228,303,232,210,3.48,0.29999999999998295
175,35.35,3.53,143.1,23.52,-4.245,303,232,210,3.5,0.19999999999998863
176,35.55,3.55,143.2,22.69,-4.2989999999999995,302,232,211,3.52,0.29999999999998295
177,35.75,3.57,143.1,20.75,-4.354,302,233,211,3.54,0.19999999999998863
178,35.96,3.59,143.0,19.92,-4.412,302,234,212,3.56,0.09999999999999432
179,36.16,3.61,142.9,19.02,-4.463,302,234,212,3.58,0.0
180,36.36,3.63,142.8,17.51,-4.573,301,236,214,3.6,-0.09999999999999432
181,36.56,3.65,142.8,16.81,-4.638,301,237,215,3.62,-0.09999999999999432
182,36.76,3.67,142.7,16.21,-4.7,300,238,216,3.64,-0.20000000000001705
183,36.97,3.69,142.7,15.64,-4.758,300,239,217,3.66,-0.20000000000001705
184,37.17,3.71,142.5,14.6,-4.887,300,241,219,3.68,-0.4000000000000057
185,37.37,3.73,142.5,14.22,-4.96,301,242,219,3.7,-0.4000000000000057
186,37.57,3.75,142.4,13.76,-5.018,300,243,220,3.72,-0.5
187,37.77,3.77,142.3,13.25,-5.124,300,244,222,3.74,-0.5999999999999943
188,37.98,3.79,142.2,13.07,-5.178,301,245,222,3.7600000000000002,-0.700000000000017
189,38.18,3.81,142.2,12.8,-5.216,301,246,223,3.7800000000000002,-0.700000000000017
190,38.38,3.83,142.1,12.61,-5.252000000000001,301,246,224,3.8000000000000003,-0.8000000000000114
191,38.58,3.85,142.1,12.51,-5.289,301,246,223,3.8200000000000003,-0.8000000000000114
192,38.78,3.87,142.0,12.62,-5.297000000000001,302,246,224,3.84,-0.9000000000000057
193,38.99,3.89,142.1,12.69,-5.301,302,246,224,3.86,-0.8000000000000114
194,39.19,3.91,142.1,12.82,-5.289,302,247,224,3.88,-0.8000000000000114
195,39.39,3.93,142.0,12.89,-5.291,302,246,224,3.9,-0.9000000000000057
196,39.59,3.95,142.1,13.43,-5.265,302,247,224,3.92,-0.8000000000000114
197,39.79,3.98,142.1,14.67,-5.221,302,247,224,3.94,-0.8000000000000114
198,40.0,4.0,142.2,15.22,-5.162000000000001,302,247,225,3.96,-0.700000000000017
199,40.2,4.02,142.3,16.11,-5.098,303,247,225,3.98,-0.5999999999999943
200,40.4,4.04,142.4,16.95,-5.011,303,247,224,4.0,-0.5
201,40.6,4.06,142.5,18.98,-4.83,304,245,223,4.0200000000000005,-0.4000000000000057
202,40.8,4.08,142.7,20.07,-4.711,304,243,221,4.04,-0.20000000000001705
203,41.01,4.1,142.7,21.42,-4.65,304,242,220,4.0600000000000005,-0.20000000000001705
204,41.21,4.12,142.9,24.11,-4.453,306,239,217,4.08,0.0
205,41.41,4.14,143.0,25.43,-4.367,306,237,215,4.1,0.09999999999999432
206,41.61,4.16,143.1,26.69,-4.323,306,236,214,4.12,0.19999999999998863
207,41.81,4.18,143.1,27.58,-4.261,307,235,214,4.14,0.19999999999998863
208,42.02,4.2,143.2,29.43,-4.189,306,233,212,4.16,0.29999999999998295
209,42.22,4.22,143.3,30.11,-4.16,306,233,212,4.18,0.4000000000000057
210,42.42,4.24,143.3,30.65,-4.136,306,233,211,4.2,0.4000000000000057
211,42.62,4.26,143.3,31.35,-4.081,305,232,211,4.22,0.4000000000000057
212,42.82,4.28,143.3,31.46,-4.081,305,232,210,4.24,0.4000000000000057
213,43.03,4.3,143.4,31.62,-4.056,305,232,210,4.26,0.5
214,43.23,4.32,143.4,31.66,-4.053999999999999,305,232,210,4.28,0.5
215,43.43,4.34,143.4,31.46,-4.052,304,232,210,4.3,0.5
216,43.63,4.36,143.4,31.58,-4.061,304,232,210,4.32,0.5
217,43.83,4.38,143.3,31.39,-4.053,304,232,210,4.34,0.4000000000000057
218,44.04,4.4,143.3,30.67,-4.0680000000000005,304,232,210,4.36,0.4000000000000057
219,44.24,4.42,143.3,30.01,-4.071000000000001,303,231,209,4.38,0.4000000000000057
220,44.44,4.44,143.3,29.34,-4.084,304,231,210,4.4,0.4000000000000057
221,44.64,4.46,143.3,27.51,-4.106,303,231,210,4.42,0.4000000000000057
222,44.84,4.48,143.3,26.54,-4.113,303,232,210,4.44,0.4000000000000057
223,45.05,4.5,143.2,25.52,-4.16,303,232,210,4.46,0.29999999999998295
224,45.25,4.52,143.2,24.58,-4.194,303,232,210,4.48,0.29999999999998295
225,45.45,4.54,143.1,22.49,-4.255,303,233,211,4.5,0.19999999999998863
226,45.65,4.56,143.2,21.69,-4.295,302,233,211,4.5200000000000005,0.29999999999998295
227,45.85,4.58,143.0,20.61,-4.3469999999999995,303,233,211,4.54,0.09999999999999432
228,46.06,4.6,143.0,18.91,-4.445,302,235,213,4.5600000000000005,0.09999999999999432
229,46.26,4.62,142.9,18.27,-4.493,301,236,214,4.58,0.0
230,46.46,4.64,142.9,17.47,-4.542,301,237,215,4.6000000000000005,0.0
231,46.66,4.66,142.8,16.87,-4.5969999999999995,301,238,216,4.62,-0.09999999999999432
232,46.86,4.68,142.7,15.58,-4.715,300,240,217,4.64,-0.20000000000001705
233,47.07,4.7,142.6,15.03,-4.787,300,240,218,4.66,-0.30000000000001137
234,47.27,4.72,142.6,14.61,-4.856,301,242,219,4.68,-0.30000000000001137
235,47.47,4.74,142.4,13.82,-4.985,300,243,221,4.7,-0.5
236,47.67,4.76,142.3,13.5,-5.046,301,245,222,4.72,-0.5999999999999943
237,47.87,4.78,142.3,13.21,-5.106,301,245,222,4.74,-0.5999999999999943
238,48.08,4.8,142.2,12.77,-5.18,301,246,223,4.76,-0.700000000000017
239,48.28,4.82,142.2,12.7,-5.234,301,246,224,4.78,-0.700000000000017
240,48.48,4.84,142.1,12.65,-5.265,301,246,223,4.8,-0.8000000000000114
241,48.68,4.86,142.1,12.64,-5.27,301,247,224,4.82,-0.8000000000000114
242,48.88,4.88,142.1,12.66,-5.273,302,247,224,4.84,-0.8000000000000114
243,49.09,4.9,142.1,12.72,-5.263999999999999,301,247,224,4.86,-0.8000000000000114
244,49.29,4.92,142.1,12.72,-5.274,302,247,224,4.88,-0.8000000000000114
245,49.49,4.94,142.2,13.39,-5.252000000000001,302,247,225,4.9,-0.700000000000017
246,49.69,4.97,142.1,13.9,-5.2139999999999995,302,248,225,4.92,-0.8000000000000114
247,49.89,4.99,142.2,14.53,-5.17,302,248,225,4.94,-0.700000000000017
248,50.1,5.01,142.2,15.39,-5.121,302,248,226,4.96,-0.700000000000017
249,50.3,5.03,142.4,16.91,-4.96,303,247,225,4.98,-0.5
250,50.5,5.05,142.5,17.91,-4.89,303,246,224,5.0,-0.4000000000000057
251,50.7,5.07,142.6,18.79,-4.794,304,245,223,5.0200000000000005,-0.30000000000001137
252,50.9,5.09,142.8,21.47,-4.592,305,243,220,5.04,-0.09999999999999432
253,51.11,5.11,142.9,22.73,-4.506,306,241,218,5.0600000000000005,0.0
254,51.31,5.13,143.1,24.02,-4.395,306,239,217,5.08,0.19999999999998863
255,51.51,5.15,143.1,26.67,-4.292,306,237,214,5.1000000000000005,0.19999999999998863
256,51.71,5.17,143.2,27.69,-4.235,306,236,213,5.12,0.29999999999998295
257,51.91,5.19,143.2,28.51,-4.183,306,235,213,5.14,0.29999999999998295
258,52.12,5.21,143.3,29.51,-4.132,306,234,212,5.16,0.4000000000000057
259,52.32,5.23,143.3,30.68,-4.093,306,233,212,5.18,0.4000000000000057
260,52.52,5.25,143.3,30.99,-4.073,305,233,211,5.2,0.4000000000000057
261,52.72,5.27,143.3,31.33,-4.062,305,232,211,5.22,0.4000000000000057
262,52.92,5.29,143.4,31.56,-4.041,305,232,211,5.24,0.5
263,53.13,5.31,143.3,31.64,-4.031000000000001,305,232,210,5.26,0.4000000000000057
264,53.33,5.33,143.4,31.49,-4.027,304,232,210,5.28,0.5
265,53.53,5.35,143.4,31.4,-4.029,305,232,210,5.3,0.5
266,53.73,5.37,143.4,31.44,-4.035,304,232,210,5.32,0.5
267,53.93,5.39,143.3,31.23,-4.038,304,231,210,5.34,0.4000000000000057
268,54.14,5.41,143.4,30.72,-4.033,304,232,210,5.36,0.5
269,54.34,5.43,143.4,29.32,-4.038,304,232,210,5.38,0.5
270,54.54,5.45,143.4,28.46,-4.066,303,232,210,5.4,0.5
271,54.74,5.47,143.3,27.54,-4.073,303,232,210,5.42,0.4000000000000057
272,54.94,5.49,143.3,25.6,-4.131,303,232,210,5.44,0.4000000000000057
273,55.15,5.51,143.3,24.58,-4.15,303,232,211,5.46,0.4000000000000057
274,55.35,5.53,143.3,23.64,-4.2,303,233,211,5.48,0.4000000000000057
275,55.55,5.55,143.2,22.49,-4.232,303,233,211,5.5,0.29999999999998295
276,55.75,5.57,143.1,20.74,-4.315,302,234,212,5.5200000000000005,0.19999999999998863
277,55.95,5.59,143.1,19.77,-4.371,302,235,213,5.54,0.19999999999998863
278,56.16,5.61,143.0,19.0,-4.409,301,235,213,5.5600000000000005,0.09999999999999432
279,56.36,5.63,142.9,17.49,-4.513,301,237,214,5.58,0.0
280,56.56,5.65,142.8,16.71,-4.569,301,238,215,5.6000000000000005,-0.09999999999999432
281,56.76,5.67,142.8,16.18,-4.621,301,239,216,5.62,-0.09999999999999432
282,56.96,5.69,142.6,15.56,-4.706,300,240,218,5.64,-0.30000000000001137
283,57.17,5.71,142.6,14.66,-4.838,301,242,220,5.66,-0.30000000000001137
284,57.37,5.73,142.5,14.11,-4.888999999999999,301,243,220,5.68,-0.4000000000000057
285,57.57,5.75,142.5,13.85,-4.968,301,244,221,5.7,-0.4000000000000057
286,57.77,5.77,142.3,13.28,-5.072,301,245,222,5.72,-0.5999999999999943
287,57.97,5.79,142.4,13.03,-5.112,301,245,223,5.74,-0.5
288,58.18,5.81,142.2,12.8,-5.166,301,246,223,5.76,-0.700000000000017
289,58.38,5.83,142.2,12.68,-5.194,301,247,224,5.78,-0.700000000000017
290,58.58,5.85,142.2,12.55,-5.239,301,246,224,5.8,-0.700000000000017
291,58.78,5.87,142.1,12.55,-5.2410000000000005,302,247,224,5.82,-0.8000000000000114
292,58.98,5.89,142.1,12.77,-5.249,302,247,224,5.84,-0.8000000000000114
293,59.19,5.91,142.1,12.73,-5.247000000000001,302,247,225,5.86,-0.8000000000000114
294,59.39,5.93,142.1,12.87,-5.237,302,247,225,5.88,-0.8000000000000114
295,59.59,5.96,142.2,13.42,-5.21,302,248,225,5.9,-0.700000000000017
296,59.79,5.98,142.2,14.59,-5.144,302,248,225,5.92,-0.700000000000017
297,59.99,6.0,142.3,15.35,-5.084,302,248,226,5.94,-0.5999999999999943
298,60.2,6.02,142.4,16.07,-5.006,303,247,225,5.96,-0.5
299,60.4,6.04,142.4,16.96,-4.93,303,247,225,5.98,-0.5
300,60.6,6.06,142.7,18.93,-4.7589999999999995,304,245,223,6.0,-0.20000000000001705
301,60.8,6.08,142.7,20.03,-4.652,304,244,222,6.0200000000000005,-0.20000000000001705
302,61.0,6.1,142.9,21.52,-4.55,305,243,220,6.04,0.0
303,61.21,6.12,143.0,24.21,-4.373,306,239,217,6.0600000000000005,0.09999999999999432
304,61.41,6.14,143.1,25.47,-4.298,306,238,215,6.08,0.19999999999998863
305,61.61,6.16,143.2,26.74,-4.232,306,236,215,6.1000000000000005,0.29999999999998295
306,61.81,6.18,143.3,27.78,-4.198,306,236,214,6.12,0.4000000000000057
307,62.01,6.2,143.3,29.4,-4.105,306,235,213,6.140000000000001,0.4000000000000057
308,62.22,6.22,143.3,30.11,-4.088,306,234,212,6.16,0.4000000000000057
309,62.42,6.24,143.4,30.62,-4.067,305,234,212,6.18,0.5
310,62.62,6.26,143.4,31.27,-4.026,305,233,211,6.2,0.5
311,62.82,6.28,143.4,31.53,-4.01,305,232,211,6.22,0.5
312,63.02,6.3,143.4,31.63,-4.007,305,233,211,6.24,0.5
313,63.23,6.32,143.4,31.6,-4.012,305,232,211,6.26,0.5
314,63.43,6.34,143.4,31.59,-3.992,305,232,211,6.28,0.5
315,63.63,6.36,143.4,31.55,-3.987,304,232,211,6.3,0.5
316,63.83,6.38,143.4,31.39,-3.972,304,233,211,6.32,0.5
317,64.03,6.4,143.5,30.68,-3.963,304,232,211,6.34,0.5999999999999943
318,64.24,6.42,143.4,29.95,-3.969,304,232,210,6.36,0.5
319,64.44,6.44,143.4,29.29,-3.9739999999999998,304,232,211,6.38,0.5
320,64.64,6.46,143.4,27.47,-4.013,303,232,211,6.4,0.5
321,64.84,6.48,143.4,26.62,-4.032,303,232,210,6.42,0.5
322,65.04,6.5,143.4,25.57,-4.059,303,232,210,6.44,0.5
323,65.25,6.52,143.3,24.49,-4.119,303,233,211,6.46,0.4000000000000057
324,65.45,6.54,143.2,22.51,-4.2010000000000005,303,233,211,6.48,0.29999999999998295
325,65.65,6.56,143.2,21.68,-4.218999999999999,302,234,212,6.5,0.29999999999998295
326,65.85,6.58,143.2,20.66,-4.24,302,234,212,6.5200000000000005,0.29999999999998295
