,时间,振次,轴位移,力,应力,变形,侧位移,围压,孔压,反压,体变,小体变
0,0.0,0.0,108.2,21.2,300,-6.606,234.5,300,221,201,2113,-8.5
1,0.2,0.02,108.1,21.18,30,-6.636,234.7,300,221,201,2115,-8.6
2,0.4,0.04,108.3,21.19,30,-6.63,233.7,300,221,200,2112,-8.1
3,0.61,0.06,108.1,21.26,31,-6.617999999999999,234.6,299,221,200,2113,-8.5
4,0.81,0.08,108.2,21.94,32,-6.629,234.6,300,221,200,2114,-8.6
5,1.01,0.1,108.2,22.5,32,-6.6339999999999995,234.5,300,220,201,2114,-8.1
6,1.21,0.12,108.3,22.82,33,-6.638999999999999,234.3,300,221,200,2114,-8.4
7,1.41,0.14,108.3,23.27,33,-6.631,234.3,301,221,200,2114,-8.4
8,1.62,0.16,108.3,23.59,34,-6.638999999999999,234.4,301,220,201,2113,-8.0
9,1.82,0.18,108.6,23.76,34,-6.62,234.6,301,221,200,2115,-8.4
10,2.02,0.2,108.6,23.8,34,-6.627999999999999,234.4,301,220,200,2112,-8.5
11,2.22,0.22,108.7,24.14,34,-6.641,234.2,301,219,200,2115,-8.1
12,2.42,0.24,108.8,24.29,34,-6.642,234.3,301,220,200,2113,-8.3
13,2.63,0.26,108.9,24.5,35,-6.656000000000001,235.1,301,220,199,2114,-8.5
14,2.83,0.28,109.2,24.79,35,-6.648,234.4,301,220,200,2113,-8.1
15,3.03,0.3,109.5,25.07,35,-6.627000000000001,234.4,301,220,200,2116,-8.4
16,3.23,0.32,109.4,25.18,36,-6.6370000000000005,234.6,301,220,200,2113,-8.0
17,3.43,0.34,109.6,25.47,36,-6.656000000000001,234.5,301,220,200,2112,-8.4
18,3.64,0.36,109.7,25.46,36,-6.651,234.6,301,220,200,2114,-8.9
19,3.84,0.38,109.7,25.44,36,-6.638999999999999,234.7,301,220,200,2112,-8.1
20,4.04,0.4,109.8,25.46,36,-6.629,234.2,301,221,200,2113,-8.4
21,4.24,0.42,109.9,25.37,35,-6.63,233.9,301,220,200,2116,-8.5
22,4.44,0.44,110.0,25.31,35,-6.638999999999999,234.7,301,220,200,2116,-8.3
23,4.65,0.46,110.0,25.11,36,-6.621,234.6,300,221,200,2114,-8.1
24,4.85,0.48,110.1,24.78,35,-6.622999999999999,234.1,301,221,200,2114,-8.0
25,5.05,0.5,110.0,24.49,35,-6.601,234.3,301,221,201,2113,-8.1
26,5.25,0.52,110.2,24.37,34,-6.609,234.6,301,221,201,2116,-8.3
27,5.45,0.54,110.1,24.15,33,-6.577000000000001,234.9,301,221,200,2112,-8.0
28,5.66,0.56,110.1,23.12,32,-6.632999999999999,234.1,300,221,201,2115,-8.6
29,5.86,0.58,109.9,22.52,31,-6.621,234.2,301,221,200,2115,-8.3
30,6.06,0.6,110.0,21.63,29,-6.617000000000001,234.4,300,221,200,2114,-8.3
31,6.26,0.62,109.9,20.3,28,-6.625,234.8,301,221,200,2116,-8.4
32,6.46,0.64,110.0,19.47,27,-6.622000000000001,234.3,301,221,200,2114,-8.4
33,6.67,0.66,110.0,18.97,26,-6.622000000000001,234.1,300,221,201,2113,-8.5
34,6.87,0.68,109.8,17.84,25,-6.6339999999999995,234.5,301,221,201,2114,-8.3
35,7.07,0.7,109.8,17.35,24,-6.643,234.7,301,222,201,2114,-8.4
36,7.27,0.72,109.7,16.96,23,-6.632999999999999,234.8,300,221,201,2114,-8.1
37,7.47,0.74,109.8,16.59,22,-6.631,234.2,300,222,201,2114,-8.3
38,7.68,0.76,109.7,15.99,23,-6.617000000000001,234.1,299,222,201,2113,-8.4
39,7.88,0.78,109.7,15.88,22,-6.622000000000001,234.5,300,222,202,2113,-8.4
40,8.08,0.8,109.7,15.68,22,-6.614,234.6,299,223,202,2115,-8.5
41,8.28,0.82,109.7,15.38,22,-6.611000000000001,234.6,299,222,202,2115,-8.5
42,8.48,0.84,109.8,15.54,22,-6.621,234.3,299,222,202,2113,-8.3
43,8.69,0.86,109.8,15.47,22,-6.622000000000001,234.5,300,223,201,2115,-8.1
44,8.89,0.88,109.7,15.55,22,-6.62,235.1,299,223,202,2113,-8.3
45,9.09,0.9,109.7,15.45,22,-6.632000000000001,234.6,300,223,203,2116,-8.4
46,9.29,0.92,109.6,15.57,22,-6.636,234.5,300,223,202,2115,-8.3
47,9.49,0.94,109.7,15.58,23,-6.615,234.2,299,223,203,2118,-8.5
48,9.7,0.96,109.7,16.65,24,-6.621,234.6,300,223,203,2115,-8.5
49,9.9,0.99,109.9,17.22,25,-6.627000000000001,234.6,300,223,203,2114,-8.6
50,10.1,1.01,109.6,17.91,27,-6.632999999999999,234.5,299,224,203,2115,-8.0
51,10.3,1.03,109.8,18.56,27,-6.655,234.4,300,224,202,2112,-8.4
52,10.5,1.05,109.9,20.03,29,-6.615,234.6,299,224,203,2111,-8.8
53,10.71,1.07,109.9,20.91,31,-6.61,234.8,299,224,203,2117,-8.6
54,10.91,1.09,109.9,21.49,32,-6.627999999999999,234.7,300,224,204,2116,-8.3
55,11.11,1.11,109.9,22.87,33,-6.617000000000001,234.1,300,224,203,2113,-8.9
56,11.31,1.13,110.1,23.62,35,-6.632999999999999,234.0,300,223,203,2115,-8.6
57,11.51,1.15,110.1,24.07,34,-6.624,234.6,300,224,203,2116,-8.0
58,11.72,1.17,110.4,24.94,36,-6.619,234.6,300,223,203,2113,-8.3
59,11.92,1.19,110.2,25.33,36,-6.61,234.3,300,224,203,2115,-8.3
60,12.12,1.21,110.3,25.49,37,-6.617000000000001,234.2,300,224,203,2114,-8.4
61,12.32,1.23,110.3,25.76,36,-6.629,234.7,300,223,203,2114,-8.3
62,12.52,1.25,110.3,26.16,37,-6.6339999999999995,234.8,300,223,201,2114,-8.4
63,12.73,1.27,110.5,26.29,37,-6.614,234.9,300,222,202,2114,-8.6
64,12.93,1.29,110.6,26.35,38,-6.622999999999999,234.5,301,222,202,2113,-8.1
65,13.13,1.31,110.8,26.38,38,-6.603,234.4,301,222,202,2114,-7.9
66,13.33,1.33,110.8,26.7,38,-6.6160000000000005,235.1,301,222,201,2115,-8.1
67,13.53,1.35,110.9,26.6,37,-6.629,234.9,301,222,202,2115,-8.6
68,13.74,1.37,110.9,26.47,38,-6.619,234.1,300,222,201,2112,-8.3
69,13.94,1.39,111.1,26.48,37,-6.629,234.3,301,222,202,2114,-8.9
70,14.14,1.41,111.0,26.38,37,-6.622000000000001,234.8,301,222,202,2116,-7.9
71,14.34,1.43,111.0,26.28,36,-6.6160000000000005,234.5,300,222,202,2114,-8.3
72,14.54,1.45,110.8,25.87,37,-6.624,234.8,301,223,202,2116,-8.6
73,14.75,1.47,111.0,25.59,36,-6.617000000000001,234.2,300,223,202,2114,-8.8
74,14.95,1.49,111.0,25.59,36,-6.6160000000000005,234.3,301,222,202,2115,-8.6
75,15.15,1.51,111.0,24.81,35,-6.615,234.5,300,222,201,2115,-8.5
76,15.35,1.53,111.0,24.06,34,-6.621,234.8,300,223,201,2114,-8.5
77,15.55,1.55,111.1,23.51,32,-6.603,234.2,301,222,202,2114,-8.3
78,15.76,1.57,110.9,22.64,30,-6.612,234.3,301,222,201,2114,-7.9
79,15.96,1.59,110.8,21.16,30,-6.607,234.6,300,222,202,2113,-8.5
80,16.16,1.61,110.8,20.35,28,-6.617000000000001,235.0,301,223,202,2116,-8.3
81,16.36,1.63,110.9,19.88,27,-6.601,234.6,300,222,201,2115,-8.0
82,16.56,1.65,110.9,18.53,26,-6.596,234.3,300,223,202,2116,-8.4
83,16.77,1.67,110.8,18.08,25,-6.609,234.6,300,223,202,2116,-8.6
84,16.97,1.69,110.8,17.43,24,-6.614,234.7,300,223,202,2114,-8.6
85,17.17,1.71,110.7,16.86,23,-6.596,234.6,300,223,202,2114,-8.5
86,17.37,1.73,110.8,16.19,22,-6.6129999999999995,234.6,300,224,203,2115,-8.0
87,17.57,1.75,110.7,15.93,23,-6.632000000000001,234.5,300,224,203,2116,-8.6
88,17.78,1.77,110.7,15.57,21,-6.651,234.5,300,224,203,2115,-8.0
89,17.98,1.79,110.5,15.34,22,-6.629,234.7,300,224,203,2113,-8.4
90,18.18,1.81,110.6,15.15,21,-6.626,234.8,300,224,204,2116,-8.3
91,18.38,1.83,110.4,15.11,21,-6.63,234.4,299,225,204,2114,-8.1
92,18.58,1.85,110.5,15.1,21,-6.625,234.5,299,224,204,2117,-8.1
93,18.79,1.87,110.5,15.19,21,-6.644,234.9,299,225,204,2114,-7.9
94,18.99,1.89,110.6,15.23,22,-6.624,234.6,300,226,204,2117,-8.3
95,19.19,1.91,110.5,15.27,21,-6.635,234.2,300,225,204,2116,-8.0
96,19.39,1.93,110.5,15.54,22,-6.636,234.4,300,225,205,2117,-8.4
97,19.59,1.95,110.5,15.81,23,-6.649,234.8,300,225,205,2114,-8.1
98,19.8,1.97,110.6,16.31,24,-6.642,235.1,300,226,204,2117,-8.5
99,20.0,2.0,110.6,17.66,25,-6.656000000000001,234.6,300,226,205,2112,-8.8
100,20.2,2.02,110.7,18.27,26,-6.635,234.5,300,226,204,2111,-8.3
101,20.4,2.04,110.7,19.16,28,-6.603,234.7,300,226,205,2114,-8.6
102,20.6,2.06,110.7,19.83,29,-6.631,235.1,299,227,205,2113,-8.5
103,20.81,2.08,110.9,21.25,31,-6.621,234.9,300,225,206,2113,-8.9
104,21.01,2.1,110.8,22.01,32,-6.641,234.4,299,227,205,2114,-8.5
105,21.21,2.12,110.9,22.77,34,-6.622999999999999,234.5,300,226,205,2113,-7.9
106,21.41,2.14,111.0,24.18,34,-6.643,234.8,300,226,204,2115,-7.9
107,21.61,2.16,110.9,24.79,36,-6.617999999999999,234.9,300,225,205,2115,-8.5
108,21.82,2.18,111.0,25.08,36,-6.627999999999999,234.9,300,226,204,2114,-8.6
109,22.02,2.2,110.9,26.0,37,-6.6370000000000005,234.5,301,224,204,2116,-8.0
110,22.22,2.22,111.1,26.31,37,-6.6339999999999995,234.5,301,225,204,2114,-8.6
111,22.42,2.24,111.2,26.54,38,-6.632999999999999,235.1,300,225,203,2112,-8.8
112,22.62,2.26,111.3,26.61,38,-6.638,235.0,300,225,204,2112,-8.0
113,22.83,2.28,111.4,26.91,38,-6.625,234.9,301,224,204,2114,-8.1
114,23.03,2.3,111.5,27.16,38,-6.627000000000001,234.3,301,224,203,2112,-8.3
115,23.23,2.32,111.3,27.11,38,-6.666,234.7,301,224,204,2117,-8.5
116,23.43,2.34,111.3,27.06,38,-6.659,235.0,301,224,203,2112,-8.5
117,23.63,2.36,111.5,26.92,38,-6.659,234.5,301,224,203,2113,-8.8
118,23.84,2.38,111.6,26.91,38,-6.649,234.8,301,224,204,2115,-8.1
119,24.04,2.4,111.3,26.75,37,-6.666,234.9,301,223,203,2112,-7.9
120,24.24,2.42,111.4,26.51,37,-6.66,234.6,301,224,204,2115,-8.5
121,24.44,2.44,111.5,26.36,37,-6.644,235.0,301,224,203,2116,-8.4
122,24.64,2.46,111.6,26.18,37,-6.646,234.7,301,224,202,2112,-8.1
123,24.85,2.48,111.6,25.72,36,-6.65,234.2,301,224,203,2112,-8.4
124,25.05,2.5,111.4,25.07,35,-6.638999999999999,234.8,301,224,203,2114,-8.3
125,25.25,2.52,111.5,24.49,34,-6.653,235.2,301,224,204,2114,-8.5
126,25.45,2.54,111.6,23.71,32,-6.6339999999999995,234.8,301,224,202,2114,-7.9
127,25.65,2.56,111.3,22.12,31,-6.6,234.5,301,224,203,2114,-8.0
128,25.86,2.58,111.4,21.4,29,-6.6160000000000005,234.3,301,224,203,2113,-8.8
129,26.06,2.6,111.5,20.75,28,-6.603,235.0,301,224,203,2115,-8.0
130,26.26,2.62,111.4,19.35,26,-6.667000000000001,234.9,301,224,204,2115,-8.5
131,26.46,2.64,111.4,18.73,25,-6.667000000000001,234.6,300,225,203,2115,-8.6
132,26.66,2.66,111.4,18.14,25,-6.645,234.3,300,225,203,2113,-8.3
133,26.87,2.68,111.1,16.96,24,-6.625,234.6,300,225,204,2112,-8.3
134,27.07,2.7,111.3,16.7,24,-6.627000000000001,234.7,300,225,204,2115,-8.3
135,27.27,2.72,111.2,16.21,22,-6.626,234.7,301,225,205,2118,-8.3
136,27.47,2.74,111.2,15.97,22,-6.647,234.4,300,225,204,2116,-8.0
137,27.67,2.76,111.1,15.47,22,-6.642,234.6,299,226,204,2113,-8.4
138,27.88,2.78,111.2,15.22,21,-6.653,234.9,300,226,205,2113,-7.9
139,28.08,2.8,111.1,15.11,21,-6.638999999999999,234.8,300,226,206,2114,-8.5
140,28.28,2.82,111.2,14.86,21,-6.648,234.8,300,226,205,2114,-8.4
141,28.48,2.84,111.1,14.88,20,-6.644,234.4,300,227,205,2115,-8.1
142,28.68,2.86,111.1,15.04,21,-6.647,234.7,299,226,206,2111,-8.3
143,28.89,2.88,111.1,15.02,21,-6.662999999999999,235.1,299,227,205,2115,-8.5
144,29.09,2.9,111.0,15.08,21,-6.6370000000000005,234.5,300,227,205,2116,-8.4
145,29.29,2.92,110.9,15.07,22,-6.65,234.5,299,226,206,2115,-8.3
146,29.49,2.94,111.2,15.27,22,-6.647,234.6,300,227,206,2115,-8.4
147,29.69,2.96,111.0,16.02,23,-6.65,234.9,300,227,206,2116,-8.6
148,29.9,2.99,111.1,16.75,25,-6.678,235.0,300,227,206,2117,-8.6
149,30.1,3.01,111.2,17.39,26,-6.678,234.5,300,228,206,2115,-8.6
150,30.3,3.03,111.1,18.77,27,-6.651,234.6,300,227,208,2116,-8.1
151,30.5,3.05,111.3,19.61,28,-6.654,235.1,300,227,207,2115,-8.5
152,30.7,3.07,111.1,20.25,30,-6.645,234.9,300,228,206,2114,-8.6
153,30.91,3.09,111.2,21.15,32,-6.6579999999999995,234.9,300,227,206,2115,-8.0
154,31.11,3.11,111.3,22.76,32,-6.652,234.7,300,227,206,2118,-9.0
155,31.31,3.13,111.5,23.63,34,-6.659,234.7,301,228,205,2113,-8.4
156,31.51,3.15,111.4,24.17,35,-6.641,235.3,300,227,206,2113,-8.4
157,31.71,3.17,111.6,25.28,36,-6.632999999999999,235.2,300,226,205,2115,-8.6
158,31.92,3.19,111.6,25.69,37,-6.662000000000001,234.6,300,227,206,2114,-8.4
159,32.12,3.21,111.6,26.24,38,-6.636,234.6,301,226,205,2115,-8.3
160,32.32,3.23,111.6,26.5,38,-6.651,234.5,301,227,206,2114,-8.5
161,32.52,3.25,111.8,26.94,38,-6.625,235.3,301,226,205,2113,-8.5
162,32.72,3.27,111.7,26.98,38,-6.659,235.0,301,226,204,2114,-8.6
163,32.93,3.29,111.9,27.25,38,-6.6370000000000005,234.5,301,225,205,2114,-8.4
164,33.13,3.31,111.9,27.26,38,-6.643,234.6,301,225,205,2113,-8.3
165,33.33,3.33,111.9,27.39,38,-6.649,234.5,301,225,203,2113,-8.0
166,33.53,3.35,112.0,27.44,38,-6.65,235.2,302,225,205,2113,-8.4
167,33.73,3.37,112.0,27.17,38,-6.64,234.6,301,225,204,2113,-8.6
168,33.94,3.39,112.0,26.96,37,-6.667000000000001,234.3,301,225,205,2116,-8.6
169,34.14,3.41,111.9,26.71,38,-6.646,235.0,301,225,205,2113,-8.4
170,34.34,3.43,112.0,26.65,37,-6.638,235.0,301,225,204,2116,-8.1
171,34.54,3.45,111.9,26.46,38,-6.675,234.8,301,225,205,2115,-8.3
172,34.74,3.47,112.0,26.09,36,-6.672000000000001,234.6,301,226,205,2114,-8.6
173,34.95,3.49,111.8,25.75,35,-6.664,234.6,301,225,204,2115,-8.1
174,35.15,3.51,111.8,24.17,34,-6.642,234.9,300,226,205,2114,-8.0
175,35.35,3.53,112.0,23.37,33,-6.641,234.9,300,225,204,2114,-8.6
176,35.55,3.55,112.0,22.83,31,-6.63,234.7,300,225,204,2115,-8.3
177,35.75,3.57,111.8,22.06,29,-6.645,234.6,301,225,204,2114,-8.5
178,35.96,3.59,111.9,20.5,29,-6.6339999999999995,234.8,301,225,205,2113,-7.8
179,36.16,3.61,111.8,19.92,27,-6.638,235.1,300,225,204,2116,-8.5
180,36.36,3.63,111.8,19.23,27,-6.617999999999999,235.0,301,225,204,2115,-8.3
181,36.56,3.65,111.8,18.07,25,-6.631,234.3,300,226,204,2118,-8.1
182,36.76,3.67,111.6,17.54,25,-6.6370000000000005,234.8,300,226,205,2116,-8.0
183,36.97,3.69,111.7,16.99,24,-6.6339999999999995,235.3,300,227,205,2115,-8.1
184,37.17,3.71,111.7,16.56,22,-6.657,235.0,300,226,205,2113,-8.1
185,37.37,3.73,111.6,15.81,22,-6.662999999999999,234.6,300,227,205,2114,-8.4
186,37.57,3.75,111.5,15.66,22,-6.655,234.1,300,227,206,2115,-8.0
187,37.77,3.77,111.5,15.37,21,-6.653,235.1,300,227,206,2112,-8.5
188,37.98,3.79,111.4,15.06,21,-6.635,234.9,300,227,207,2117,-8.5
189,38.18,3.81,111.6,14.86,21,-6.642,234.8,299,227,207,2114,-8.3
190,38.38,3.83,111.3,14.89,21,-6.669,234.6,300,228,206,2115,-8.4
191,38.58,3.85,111.6,14.89,21,-6.638,234.8,300,228,207,2114,-8.3
192,38.78,3.87,111.5,14.84,21,-6.622999999999999,235.0,300,227,207,2116,-8.1
193,38.99,3.89,111.5,14.95,21,-6.642,234.9,300,228,207,2115,-8.5
194,39.19,3.91,111.5,14.92,21,-6.627999999999999,234.3,300,227,206,2114,-7.9
195,39.39,3.93,111.5,15.27,22,-6.619,234.6,299,228,207,2113,-8.5
196,39.59,3.95,111.4,15.59,22,-6.638999999999999,235.3,300,227,207,2115,-8.6
197,39.79,3.98,111.4,15.94,24,-6.619,234.9,300,229,207,2113,-8.5
198,40.0,4.0,111.6,17.36,25,-6.6160000000000005,234.8,300,229,208,2114,-8.3
199,40.2,4.02,111.4,17.92,27,-6.632999999999999,234.9,299,229,207,2114,-8.6
200,40.4,4.04,111.5,18.91,28,-6.646,235.1,299,229,208,2116,-8.3
201,40.6,4.06,111.7,19.58,29,-6.627999999999999,234.9,300,229,208,2115,-8.3
202,40.8,4.08,111.8,21.07,31,-6.609,235.0,300,229,208,2113,-8.4
203,41.01,4.1,111.7,21.76,32,-6.626,234.7,300,228,208,2112,-7.9
204,41.21,4.12,111.7,22.68,34,-6.611000000000001,235.0,300,228,208,2114,-8.5
205,41.41,4.14,111.8,24.2,35,-6.653,235.2,300,228,207,2115,-8.5
206,41.61,4.16,111.8,24.8,35,-6.66,234.8,300,228,207,2115,-8.1
207,41.81,4.18,111.8,25.26,37,-6.664,234.4,301,227,207,2114,-8.3
208,42.02,4.2,112.0,26.1,37,-6.688,234.7,301,228,206,2110,-8.0
209,42.22,4.22,112.1,26.48,38,-6.6739999999999995,235.3,301,227,206,2117,-8.4
210,42.42,4.24,112.1,26.94,38,-6.629,235.2,301,227,206,2113,-8.3
211,42.62,4.26,112.1,27.0,39,-6.46,234.8,301,226,206,2113,-8.3
212,42.82,4.28,112.1,27.39,39,-5.115,234.2,300,226,206,2113,-8.4
213,43.03,4.3,112.2,27.42,38,-5.072,234.9,301,226,206,2116,-8.3
214,43.23,4.32,112.1,27.55,38,-4.988,235.3,301,226,206,2113,-8.5
215,43.43,4.34,112.2,27.42,39,-4.873,235.0,301,226,205,2116,-8.6
216,43.63,4.36,112.1,27.3,39,-4.857,234.5,301,226,205,2114,-8.6
217,43.83,4.38,112.2,27.16,38,-4.853,233.9,301,226,206,2114,-8.3
218,44.04,4.4,112.3,26.92,38,-4.794,235.1,301,226,205,2113,-8.0
219,44.24,4.42,112.3,26.93,38,-4.84,235.0,302,226,206,2114,-8.5
220,44.44,4.44,112.2,26.94,37,-4.855,234.7,301,226,206,2116,-8.5
221,44.64,4.46,112.3,26.54,37,-4.872,234.4,301,226,206,2114,-8.0
222,44.84,4.48,112.2,25.49,35,-4.888,234.5,300,226,205,2116,-8.4
223,45.05,4.5,112.3,24.91,34,-4.8919999999999995,235.5,301,226,205,2114,-8.3
224,45.25,4.52,112.2,24.17,33,-4.915,235.2,301,226,205,2115,-8.3
225,45.45,4.54,112.1,22.62,31,-4.94,234.4,301,226,205,2114,-8.6
226,45.65,4.56,112.2,21.91,30,-4.941,234.6,301,226,205,2113,-8.1
227,45.85,4.58,112.2,21.17,29,-4.97,235.2,300,227,205,2115,-8.3
228,46.06,4.6,112.1,20.52,28,-5.013,235.1,301,226,205,2115,-8.6
229,46.26,4.62,112.0,19.15,27,-5.052,234.6,301,227,205,2116,-8.5
230,46.46,4.64,112.0,18.53,25,-5.09,234.7,301,227,205,2113,-8.1
231,46.66,4.66,111.9,17.9,25,-5.127999999999999,234.9,300,226,206,2114,-8.9
232,46.86,4.68,112.0,16.95,24,-5.178,235.4,300,227,206,2116,-8.5
233,47.07,4.7,111.8,16.47,23,-5.209,234.8,300,227,206,2115,-8.4
234,47.27,4.72,111.8,16.17,22,-5.223,234.4,300,228,206,2114,-8.5
235,47.47,4.74,111.8,15.76,22,-5.269,234.7,300,228,206,2114,-8.6
236,47.67,4.76,111.7,15.19,21,-5.292000000000001,235.0,300,228,207,2116,-7.9
237,47.87,4.78,111.8,15.18,21,-5.305,235.0,300,228,207,2117,-8.5
238,48.08,4.8,111.9,14.96,21,-5.327000000000001,234.7,300,229,207,2112,-8.3
239,48.28,4.82,111.6,14.91,21,-5.026,234.7,300,229,207,2114,-7.9
240,48.48,4.84,111.6,14.86,21,-1.624,235.3,300,228,207,2113,-8.0
241,48.68,4.86,111.7,14.71,21,9.448,235.2,300,229,208,2116,-8.3
242,48.88,4.88,111.7,14.74,21,17.483,234.8,300,228,208,2113,-8.4
243,49.09,4.9,111.6,14.9,22,21.581999999999997,234.3,299,229,208,2114,-8.0
244,49.29,4.92,111.7,14.86,21,-4.862,235.0,299,229,207,2113,-8.1
245,49.49,4.94,111.7,15.1,22,-5.396,235.1,300,229,207,2114,-8.5
246,49.69,4.97,111.7,16.0,23,1.6440000000000001,234.8,300,229,208,2113,-8.3
247,49.89,4.99,111.9,16.64,24,12.407,234.6,300,230,209,2112,-8.1
248,50.1,5.01,111.8,17.29,26,12.565999999999999,235.1,300,230,208,2112,-8.4
249,50.3,5.03,111.8,18.73,27,-5.251,235.1,300,230,209,2116,-8.4
250,50.5,5.05,111.8,19.67,28,-5.117,234.8,300,229,209,2114,-8.6
251,50.7,5.07,112.0,20.31,30,6.2620000000000005,234.6,300,229,208,2115,-8.4
252,50.9,5.09,111.9,21.16,31,20.259,234.6,300,229,208,2114,-8.6
253,51.11,5.11,112.1,22.68,33,-5.107,234.6,300,229,208,2119,-8.3
254,51.31,5.13,112.0,23.36,34,-5.038,234.9,300,229,208,2116,-8.6
255,51.51,5.15,112.2,24.16,35,6.403,234.7,300,229,207,2114,-8.3
256,51.71,5.17,112.3,25.41,36,23.811999999999998,234.7,300,229,207,2115,-7.6
257,51.91,5.19,112.1,25.88,37,-4.843999999999999,234.7,300,228,207,2114,-8.3
258,52.12,5.21,112.3,26.26,38,-4.9,235.2,300,228,207,2117,-8.5
259,52.32,5.23,112.2,26.54,37,-4.855,235.4,301,228,207,2114,-8.0
260,52.52,5.25,112.3,27.13,39,11.035,234.7,301,227,206,2114,-8.3
261,52.72,5.27,112.3,27.35,39,34.751,235.1,301,227,206,2113,-8.4
262,52.92,5.29,112.4,27.47,38,-0.446,235.3,301,227,206,2114,-8.4
263,53.13,5.31,112.4,27.5,38,-4.76,234.9,301,227,206,2113,-8.3
264,53.33,5.33,112.5,27.51,38,-4.768,234.8,301,226,206,2115,-8.1
265,53.53,5.35,112.5,27.55,39,-4.7410000000000005,234.7,301,227,206,2114,-8.8
266,53.73,5.37,112.5,27.37,39,-4.756,234.8,301,227,206,2113,-8.3
267,53.93,5.39,112.4,27.14,38,-4.725,235.1,301,227,206,2115,-8.4
268,54.14,5.41,112.5,26.96,38,-4.749,234.9,301,227,206,2116,-8.3
269,54.34,5.43,112.5,26.92,37,-4.7330000000000005,234.5,301,228,205,2114,-8.0
270,54.54,5.45,112.5,26.49,37,-4.727,234.7,301,227,206,2113,-8.3
271,54.74,5.47,112.6,26.18,36,-4.718999999999999,234.9,301,227,206,2115,-8.3
272,54.94,5.49,112.6,25.35,35,-4.742,235.2,300,227,205,2115,-8.4
273,55.15,5.51,112.4,23.97,34,-4.78,234.7,301,226,206,2114,-8.3
274,55.35,5.53,112.4,23.32,33,-4.7989999999999995,234.4,300,227,206,2114,-8.4
275,55.55,5.55,112.2,22.53,31,-4.829,235.1,301,227,206,2114,-8.4
276,55.75,5.57,112.4,21.74,29,-4.835,235.4,301,227,206,2115,-7.9
277,55.95,5.59,112.4,20.51,28,-4.887,234.7,301,227,206,2112,-8.5
278,56.16,5.61,112.3,19.68,27,-4.92,234.5,300,227,207,2113,-8.3
279,56.36,5.63,112.4,18.97,25,-4.942,234.4,301,227,206,2115,-8.6
280,56.56,5.65,112.2,17.82,25,-5.01,235.1,301,228,206,2113,-8.8
281,56.76,5.67,112.3,17.25,24,-5.047,234.8,300,227,206,2114,-8.5
282,56.96,5.69,112.2,16.89,23,-5.081,234.8,300,228,207,2113,-8.0
283,57.17,5.71,112.2,16.55,22,-5.088,234.8,300,228,207,2116,-8.6
284,57.37,5.73,112.1,15.75,22,-5.146,235.1,300,228,207,2117,-8.0
285,57.57,5.75,112.2,15.38,22,-5.152,235.1,300,228,207,2115,-8.1
286,57.77,5.77,111.9,15.26,21,-5.202000000000001,235.1,300,229,208,2114,-8.0
287,57.97,5.79,112.0,15.02,21,-5.239,234.6,300,229,208,2114,-8.5
288,58.18,5.81,111.9,14.71,21,-5.226,234.9,300,229,208,2114,-8.4
289,58.38,5.83,112.0,14.75,21,-5.25,235.3,300,229,208,2113,-8.3
290,58.58,5.85,112.1,14.83,21,-5.263999999999999,235.3,300,230,208,2115,-8.0
291,58.78,5.87,112.0,14.89,21,-5.269,234.4,300,230,208,2115,-8.1
292,58.98,5.89,111.9,14.8,21,-5.25,234.8,300,229,208,2115,-8.4
293,59.19,5.91,111.9,14.78,21,-5.2860000000000005,235.4,300,230,208,2113,-8.1
294,59.39,5.93,112.0,15.06,21,-5.242999999999999,235.0,300,230,208,2117,-8.5
295,59.59,5.96,111.9,15.38,23,-5.244,234.6,300,230,209,2114,-8.4
296,59.79,5.98,112.2,16.01,24,-5.17,234.7,300,230,209,2115,-8.3
297,59.99,6.0,112.0,17.22,25,-5.162999999999999,235.1,299,231,209,2114,-8.1
298,60.2,6.02,112.1,17.96,27,-5.132000000000001,234.9,300,231,209,2115,-8.6
299,60.4,6.04,112.0,18.76,29,-5.113,235.0,300,231,209,2113,-8.4
300,60.6,6.06,112.1,19.55,30,-5.086,234.7,299,230,210,2112,-8.0
301,60.8,6.08,112.1,21.01,30,-5.024,235.2,299,230,209,2116,-8.1
302,61.0,6.1,112.2,21.93,32,-4.987,235.2,300,230,209,2117,-8.8
303,61.21,6.12,112.3,22.81,34,-4.937,234.8,300,230,210,2115,-8.6
304,61.41,6.14,112.4,24.33,35,-4.87,234.6,300,229,208,2113,-8.1
305,61.61,6.16,112.5,24.79,36,-4.845,235.2,300,230,208,2115,-8.5
306,61.81,6.18,112.4,25.39,37,-4.812,235.0,301,229,208,2114,-8.5
307,62.01,6.2,112.5,26.4,38,-4.744,234.9,300,229,208,2116,-8.3
308,62.22,6.22,112.5,26.5,38,-4.718999999999999,234.7,301,229,207,2112,-8.4
309,62.42,6.24,112.4,27.21,38,-4.689,234.9,301,228,207,2115,-8.4
310,62.62,6.26,112.6,27.11,38,-4.675,235.6,301,229,207,2112,-8.1
311,62.82,6.28,112.7,27.45,39,-4.63,235.2,301,228,206,2115,-8.4
312,63.02,6.3,112.6,27.54,39,-4.606,234.8,301,228,207,2114,-8.4
313,63.23,6.32,112.6,27.63,38,-4.593999999999999,234.7,301,227,207,2115,-8.6
314,63.43,6.34,112.7,27.52,38,-4.571000000000001,235.3,301,227,207,2116,-8.3
