时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 144.6 	 21.41 	 303 	-2.887 	 243.1 	 300 	 243 	 221 	 2272 	-7.1 
 .2 	 .02 	 144.6 	 21.44 	 30 	-2.877 	 243.1 	 300 	 243 	 221 	 2272 	-7.4 
 .4 	 .04 	 144.6 	 21.43 	 31 	-2.877 	 243.2 	 300 	 244 	 221 	 2273 	-7.5 
 .61 	 .06 	 144.7 	 22.04 	 32 	-2.859 	 243.3 	 300 	 244 	 221 	 2273 	-7.3 
 .81 	 .08 	 144.7 	 22.67 	 34 	-2.839 	 242.7 	 300 	 243 	 220 	 2272 	-7.4 
 1.01 	 .1 	 144.6 	 23.61 	 35 	-2.817 	 243.3 	 300 	 243 	 221 	 2273 	-7.5 
 1.21 	 .12 	 144.7 	 25.43 	 36 	-2.754 	 242.8 	 300 	 243 	 220 	 2276 	-7.1 
 1.41 	 .14 	 144.8 	 26.23 	 38 	-2.751 	 243.2 	 301 	 242 	 220 	 2271 	-7 
 1.62 	 .16 	 144.7 	 26.91 	 39 	-2.716 	 243.1 	 301 	 242 	 219 	 2269 	-7.6 
 1.82 	 .18 	 144.8 	 28.49 	 40 	-2.661 	 242.7 	 301 	 241 	 218 	 2272 	-7.4 
 2.02 	 .2 	 144.8 	 29.24 	 41 	-2.644 	 243.5 	 301 	 240 	 218 	 2272 	-7.3 
 2.22 	 .22 	 144.8 	 29.63 	 43 	-2.62 	 242.9 	 300 	 240 	 218 	 2271 	-7.1 
 2.42 	 .24 	 144.8 	 30.1 	 44 	-2.6 	 243.1 	 301 	 240 	 218 	 2273 	-7.3 
 2.63 	 .26 	 144.9 	 30.72 	 44 	-2.588 	 242.8 	 301 	 240 	 218 	 2273 	-7.5 
 2.83 	 .28 	 144.9 	 30.77 	 43 	-2.569 	 242.9 	 301 	 239 	 217 	 2271 	-7.6 
 3.03 	 .3 	 145 	 30.89 	 44 	-2.578 	 243.1 	 301 	 240 	 216 	 2270 	-7.6 
