时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,122.6,21.89,17.209,300.0,209.0,194.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,122.6,22.11,17.203,301.0,209.0,194.0,3.112363331574826,-1.0000000000000379e-05,0.0,0.0,0.0
0.4,0.04,122.6,21.84,17.215999999999998,300.0,210.0,193.0,-0.7073553026306559,1.1666666666663161e-05,0.0,1.0,-1.0
0.61,0.06,122.6,21.97,17.21,300.0,210.0,194.0,1.1317684842090094,1.6666666666687036e-06,0.0,1.0,0.0
0.81,0.08,122.5,22.17,17.205,300.0,209.0,194.0,3.961189694731633,-6.666666666668893e-06,-0.0001666666666666572,0.0,0.0
1.01,0.1,122.6,22.38,17.214000000000002,301.0,209.0,194.0,6.932081965780308,8.333333333337596e-06,0.0,0.0,0.0
1.21,0.12,122.7,23.14,17.247,301.0,209.0,194.0,17.683882565766147,6.333333333333377e-05,0.00016666666666668086,0.0,0.0
1.41,0.14,122.5,23.61,17.256,300.0,209.0,194.0,24.333022410494205,7.833333333333433e-05,-0.0001666666666666572,0.0,0.0
1.62,0.16,122.6,23.94,17.273,301.0,210.0,194.0,29.001567407856495,0.00010666666666666676,0.0,1.0,0.0
1.82,0.18,122.7,24.55,17.278,301.0,209.0,195.0,37.63130209995037,0.00011499999999999843,0.00016666666666668086,0.0,1.0
2.02,0.2,122.6,25.16,17.311,300.0,210.0,194.0,46.26103679204424,0.00017000000000000053,0.0,1.0,0.0
2.22,0.22,122.8,25.46,17.326,301.0,210.0,194.0,50.505168607828125,0.00019500000000000146,0.0003333333333333381,1.0,0.0
2.42,0.24,122.7,25.74,17.33,301.0,209.0,194.0,54.466358302559705,0.00020166666666666445,0.00016666666666668086,0.0,0.0
2.63,0.26,122.7,25.98,17.348,301.0,209.0,195.0,57.86166375518683,0.00023166666666666558,0.00016666666666668086,0.0,1.0
2.83,0.28,122.8,26.2,17.37,301.0,209.0,194.0,60.97402708676166,0.0002683333333333356,0.0003333333333333381,0.0,0.0
3.03,0.3,122.7,26.27,17.357,301.0,210.0,194.0,61.96432451044457,0.00024666666666666614,0.00016666666666668086,1.0,0.0
3.23,0.32,122.8,26.19,17.373,301.0,209.0,195.0,60.83255602623556,0.0002733333333333358,0.0003333333333333381,0.0,1.0
3.43,0.34,122.7,26.06,17.402,300.0,209.0,194.0,58.993432239395844,0.000321666666666669,0.00016666666666668086,0.0,0.0
3.64,0.36,122.6,26.25,17.392,301.0,209.0,194.0,61.68138238939232,0.0003049999999999997,0.0,0.0,0.0
3.84,0.38,122.8,26.19,17.393,301.0,209.0,194.0,60.83255602623556,0.0003066666666666684,0.0003333333333333381,0.0,0.0
4.04,0.4,122.7,25.99,17.405,301.0,209.0,193.0,58.00313481571294,0.00032666666666666917,0.00016666666666668086,0.0,-1.0
4.24,0.42,122.8,25.91,17.402,301.0,210.0,194.0,56.87136633150393,0.000321666666666669,0.0003333333333333381,1.0,0.0
4.44,0.44,122.8,25.84,17.408,301.0,208.0,194.0,55.88106890782102,0.00033166666666666934,0.0003333333333333381,-1.0,0.0
4.65,0.46,122.8,25.64,17.410999999999998,301.0,209.0,194.0,53.05164769729844,0.0003366666666666636,0.0003333333333333381,0.0,0.0
4.85,0.48,122.9,25.43,17.408,301.0,209.0,194.0,50.08075542624972,0.00033166666666666934,0.000500000000000019,0.0,0.0
5.05,0.5,122.7,25.02,17.408,300.0,210.0,193.0,44.28044194467842,0.00033166666666666934,0.00016666666666668086,1.0,-1.0
5.25,0.52,122.8,24.52,17.403,300.0,209.0,193.0,37.20688891837196,0.0003233333333333318,0.0003333333333333381,0.0,-1.0
5.45,0.54,122.7,23.41,17.371,300.0,209.0,194.0,21.50360119997163,0.0002699999999999984,0.00016666666666668086,0.0,0.0
5.66,0.56,122.8,22.69,17.369,301.0,209.0,194.0,11.317684842090346,0.0002666666666666669,0.0003333333333333381,0.0,0.0
5.86,0.58,122.8,22.21,17.352,301.0,208.0,194.0,4.527073936836138,0.00023833333333333448,0.0003333333333333381,-1.0,0.0
6.06,0.6,122.7,21.06,17.301,301.0,208.0,193.0,-11.742098023668749,0.00015333333333333125,0.00016666666666668086,-1.0,-1.0
6.26,0.62,122.6,20.6,17.287,300.0,209.0,194.0,-18.249766807870653,0.000129999999999999,0.0,0.0,0.0
6.46,0.64,122.7,20.1,17.278,300.0,209.0,194.0,-25.323319834177113,0.00011499999999999843,0.00016666666666668086,0.0,0.0
6.67,0.66,122.7,19.64,17.258,300.0,209.0,193.0,-31.830988618379067,8.166666666666581e-05,0.00016666666666668086,0.0,-1.0
6.87,0.68,122.6,18.86,17.234,301.0,209.0,195.0,-42.86573133941716,4.1666666666670216e-05,0.0,0.0,1.0
7.07,0.7,122.6,18.5,17.212,301.0,209.0,193.0,-47.9586895183578,5.000000000000189e-06,0.0,0.0,-1.0
7.27,0.72,122.6,18.26,17.207,300.0,209.0,194.0,-51.35399497098488,-3.333333333331486e-06,0.0,0.0,0.0
7.47,0.74,122.7,17.68,17.189,300.0,208.0,194.0,-59.5593164815004,-3.3333333333332623e-05,0.00016666666666668086,-1.0,0.0
7.68,0.76,122.6,17.53,17.184,301.0,209.0,194.0,-61.68138238939232,-4.16666666666643e-05,0.0,0.0,0.0
7.88,0.78,122.6,17.55,17.172,300.0,209.0,194.0,-61.39844026834007,-6.166666666666506e-05,0.0,0.0,0.0
8.08,0.8,122.6,17.17,17.187,300.0,209.0,194.0,-66.77434056833296,-3.666666666666411e-05,0.0,0.0,0.0
8.28,0.82,122.5,17.06,17.163,301.0,209.0,194.0,-68.33052223412042,-7.666666666666563e-05,-0.0001666666666666572,0.0,0.0
8.48,0.84,122.6,16.98,17.165,300.0,209.0,194.0,-69.46229071832943,-7.333333333333414e-05,0.0,0.0,0.0
8.69,0.86,122.6,17.09,17.154,300.0,209.0,194.0,-67.90610905254202,-9.16666666666662e-05,0.0,0.0,0.0
8.89,0.88,122.7,17.25,17.15,301.0,209.0,194.0,-65.64257208412396,-9.833333333333509e-05,0.00016666666666668086,0.0,0.0
9.09,0.9,122.6,17.08,17.154,300.0,209.0,194.0,-68.04758011306816,-9.16666666666662e-05,0.0,0.0,0.0
9.29,0.92,122.5,17.07,17.166,300.0,209.0,194.0,-68.18905117359427,-7.166666666666544e-05,-0.0001666666666666572,0.0,0.0
9.49,0.94,122.6,17.32,17.152,301.0,209.0,194.0,-64.65227466044104,-9.499999999999767e-05,0.0,0.0,0.0
9.7,0.96,122.6,17.78,17.15,300.0,210.0,193.0,-58.14460587623909,-9.833333333333509e-05,0.0,1.0,-1.0
9.9,0.99,122.6,18.04,17.174,300.0,209.0,194.0,-54.466358302559755,-5.833333333333357e-05,0.0,0.0,0.0
10.1,1.01,122.6,18.54,17.169,301.0,209.0,194.0,-47.3928052762533,-6.666666666666525e-05,0.0,0.0,0.0
10.3,1.03,122.5,19.62,17.211,301.0,209.0,194.0,-32.11393073943132,3.333333333331486e-06,-0.0001666666666666572,0.0,0.0
10.5,1.05,122.7,20.15,17.224,301.0,210.0,194.0,-24.615964531546506,2.5000000000000946e-05,0.00016666666666668086,1.0,0.0
10.71,1.07,122.7,20.72,17.239,301.0,209.0,195.0,-16.55211408155714,5.000000000000189e-05,0.00016666666666668086,0.0,1.0
10.91,1.09,122.7,21.9,17.278,300.0,210.0,194.0,0.14147106052610103,0.00011499999999999843,0.00016666666666668086,1.0,0.0
11.11,1.11,122.7,22.56,17.287,301.0,210.0,195.0,9.47856105525063,0.000129999999999999,0.00016666666666668086,1.0,1.0
11.31,1.13,122.7,23.13,17.312,300.0,209.0,194.0,17.542411505239997,0.00017166666666666922,0.00016666666666668086,0.0,0.0
11.51,1.15,122.8,23.57,17.352,300.0,210.0,194.0,23.7671381683897,0.00023833333333333448,0.0003333333333333381,1.0,0.0
11.72,1.17,122.7,24.57,17.375,300.0,210.0,194.0,37.91424422100262,0.0002766666666666673,0.00016666666666668086,1.0,0.0
11.92,1.19,122.8,25.0,17.389,301.0,209.0,195.0,43.99749982362617,0.00029999999999999954,0.0003333333333333381,0.0,1.0
12.12,1.21,122.7,25.46,17.392,301.0,210.0,194.0,50.505168607828125,0.0003049999999999997,0.00016666666666668086,1.0,0.0
12.32,1.23,122.8,25.93,17.427,300.0,209.0,194.0,57.15430845255618,0.0003633333333333333,0.0003333333333333381,0.0,0.0
12.52,1.25,122.9,26.05,17.441,300.0,209.0,194.0,58.85196117886974,0.00038666666666666553,0.000500000000000019,0.0,0.0
12.73,1.27,122.9,26.02,17.44,300.0,210.0,194.0,58.42754799729134,0.00038500000000000274,0.000500000000000019,1.0,0.0
12.93,1.29,122.9,26.38,17.454,301.0,209.0,194.0,63.52050617623198,0.000408333333333335,0.000500000000000019,0.0,0.0
13.13,1.31,122.9,26.33,17.461,300.0,209.0,194.0,62.81315087360133,0.0004199999999999982,0.000500000000000019,0.0,0.0
13.33,1.33,122.8,26.31,17.480999999999998,301.0,210.0,194.0,62.53020875254907,0.00045333333333333076,0.0003333333333333381,1.0,0.0
13.53,1.35,122.9,26.28,17.484,301.0,209.0,193.0,62.10579557097072,0.0004583333333333369,0.000500000000000019,0.0,-1.0
13.74,1.37,122.8,26.13,17.480999999999998,301.0,209.0,194.0,59.983729663078755,0.00045333333333333076,0.0003333333333333381,0.0,0.0
13.94,1.39,122.9,26.22,17.485,300.0,209.0,194.0,61.25696920781392,0.0004599999999999997,0.000500000000000019,0.0,0.0
14.14,1.41,122.9,26.04,17.508,300.0,210.0,193.0,58.71049011834359,0.0004983333333333325,0.000500000000000019,1.0,-1.0
14.34,1.43,122.9,25.8,17.49,301.0,209.0,193.0,55.315184665716515,0.00046833333333333135,0.000500000000000019,0.0,-1.0
14.54,1.45,122.9,25.88,17.485,301.0,209.0,194.0,56.44695314992553,0.0004599999999999997,0.000500000000000019,0.0,0.0
14.75,1.47,122.9,25.8,17.500999999999998,300.0,209.0,194.0,55.315184665716515,0.0004866666666666634,0.000500000000000019,0.0,0.0
14.95,1.49,122.8,25.6,17.488,301.0,209.0,194.0,52.48576345519394,0.00046499999999999986,0.0003333333333333381,0.0,0.0
15.15,1.51,123.0,24.41,17.477999999999998,300.0,209.0,194.0,35.650707252584546,0.0004483333333333306,0.0006666666666666762,0.0,0.0
15.35,1.53,122.9,24.0,17.485,301.0,209.0,194.0,29.850393771013252,0.0004599999999999997,0.000500000000000019,0.0,0.0
15.55,1.55,122.8,23.54,17.464000000000002,301.0,209.0,194.0,23.342724986811294,0.00042500000000000426,0.0003333333333333381,0.0,0.0
15.76,1.57,122.9,22.27,17.425,300.0,209.0,194.0,5.375900299992895,0.0003600000000000018,0.000500000000000019,0.0,0.0
15.96,1.59,122.7,21.62,17.421,300.0,209.0,194.0,-3.819718634205482,0.0003533333333333329,0.00016666666666668086,0.0,0.0
16.16,1.61,122.8,21.03,17.399,301.0,209.0,194.0,-12.166511205247103,0.0003166666666666688,0.0003333333333333381,0.0,0.0
16.36,1.63,122.8,20.52,17.39,301.0,209.0,194.0,-19.38153529207971,0.00030166666666666823,0.0003333333333333381,0.0,0.0
16.56,1.65,122.7,19.66,17.345,301.0,208.0,193.0,-31.548046497326816,0.00022666666666666538,0.00016666666666668086,-1.0,-1.0
16.77,1.67,122.7,19.21,17.333,301.0,209.0,194.0,-37.91424422100262,0.00020666666666666462,0.00016666666666668086,0.0,0.0
16.97,1.69,122.7,18.91,17.317,300.0,209.0,194.0,-42.15837603678651,0.0001800000000000009,0.00016666666666668086,0.0,0.0
17.17,1.71,122.7,18.08,17.29,300.0,209.0,194.0,-53.90047406045525,0.0001349999999999992,0.00016666666666668086,0.0,0.0
17.37,1.73,122.7,17.91,17.278,300.0,209.0,194.0,-56.305482089399426,0.00011499999999999843,0.00016666666666668086,0.0,0.0
17.57,1.75,122.5,17.64,17.257,301.0,209.0,194.0,-60.125200723604905,8.000000000000303e-05,-0.0001666666666666572,0.0,0.0
17.78,1.77,122.7,17.27,17.259,301.0,209.0,194.0,-65.3596299630717,8.333333333333452e-05,0.00016666666666668086,0.0,0.0
17.98,1.79,122.6,17.21,17.259,301.0,209.0,194.0,-66.20845632622846,8.333333333333452e-05,0.0,0.0,0.0
18.18,1.81,122.6,17.18,17.238,300.0,208.0,194.0,-66.63286950780686,4.833333333333319e-05,0.0,-1.0,0.0
18.38,1.83,122.6,17.18,17.245,300.0,209.0,193.0,-66.63286950780686,6.000000000000227e-05,0.0,0.0,-1.0
18.58,1.85,122.6,17.02,17.24,300.0,209.0,194.0,-68.89640647622493,5.166666666666468e-05,0.0,0.0,0.0
18.79,1.87,122.7,17.14,17.241,300.0,209.0,193.0,-67.19875374991136,5.333333333333338e-05,0.00016666666666668086,0.0,-1.0
18.99,1.89,122.6,17.08,17.238,300.0,209.0,194.0,-68.04758011306816,4.833333333333319e-05,0.0,0.0,0.0
19.19,1.91,122.7,17.05,17.24,301.0,209.0,194.0,-68.47199329464652,5.166666666666468e-05,0.00016666666666668086,0.0,0.0
19.39,1.93,122.7,17.25,17.23,301.0,209.0,194.0,-65.64257208412396,3.5000000000001325e-05,0.00016666666666668086,0.0,0.0
19.59,1.95,122.6,17.48,17.230999999999998,301.0,209.0,194.0,-62.38873769202297,3.666666666666411e-05,0.0,0.0,0.0
19.8,1.97,122.7,18.24,17.236,300.0,209.0,194.0,-51.636937092037186,4.5000000000001704e-05,0.00016666666666668086,0.0,0.0
20.0,2.0,122.6,18.5,17.261,301.0,208.0,195.0,-47.9586895183578,8.6666666666666e-05,0.0,-1.0,1.0
20.2,2.02,122.7,19.35,17.26,300.0,210.0,194.0,-35.933649373636804,8.500000000000322e-05,0.00016666666666668086,1.0,0.0
20.4,2.04,122.7,19.78,17.284000000000002,301.0,210.0,194.0,-29.850393771013252,0.00012500000000000475,0.00016666666666668086,1.0,0.0
20.6,2.06,122.7,20.86,17.333,300.0,209.0,194.0,-14.571519234191323,0.00020666666666666462,0.00016666666666668086,0.0,0.0
20.81,2.08,122.8,21.44,17.340999999999998,301.0,210.0,194.0,-6.366197723675803,0.00021999999999999648,0.0003333333333333381,1.0,0.0
21.01,2.1,122.8,22.02,17.358,301.0,210.0,194.0,1.8391237868396653,0.00024833333333333483,0.0003333333333333381,1.0,0.0
21.21,2.12,122.8,23.13,17.387,301.0,210.0,194.0,17.542411505239997,0.00029666666666666806,0.0003333333333333381,1.0,0.0
21.41,2.14,122.8,23.83,17.415,300.0,210.0,194.0,27.445385742069032,0.00034333333333333254,0.0003333333333333381,1.0,0.0
21.61,2.16,122.7,24.25,17.423,300.0,210.0,194.0,33.38717028416648,0.00035666666666666437,0.00016666666666668086,1.0,0.0
21.82,2.18,122.9,24.62,17.447,300.0,209.0,195.0,38.62159952363327,0.0003966666666666659,0.000500000000000019,0.0,1.0
22.02,2.2,122.8,25.27,17.492,301.0,209.0,195.0,47.81721845783165,0.00047166666666666874,0.0003333333333333381,0.0,1.0
22.22,2.22,122.9,25.66,17.494,301.0,210.0,194.0,53.3345898183507,0.0004750000000000002,0.000500000000000019,1.0,0.0
22.42,2.24,122.9,25.76,17.512,300.0,209.0,194.0,54.74930042361201,0.0005050000000000013,0.000500000000000019,0.0,0.0
22.62,2.26,122.8,26.33,17.527,301.0,209.0,194.0,62.81315087360133,0.0005300000000000024,0.0003333333333333381,0.0,0.0
22.83,2.28,122.9,26.28,17.535999999999998,300.0,209.0,194.0,62.10579557097072,0.000544999999999997,0.000500000000000019,0.0,0.0
23.03,2.3,122.8,26.31,17.553,300.0,209.0,194.0,62.53020875254907,0.0005733333333333353,0.0003333333333333381,0.0,0.0
23.23,2.32,122.8,26.29,17.558,301.0,209.0,194.0,62.24726663149682,0.000581666666666667,0.0003333333333333381,0.0,0.0
23.43,2.34,123.0,26.21,17.567999999999998,301.0,209.0,194.0,61.115498147287816,0.0005983333333333304,0.0006666666666666762,0.0,0.0
23.63,2.36,122.9,26.24,17.566,301.0,210.0,194.0,61.53991132886617,0.0005949999999999989,0.000500000000000019,1.0,0.0
23.84,2.38,122.8,26.29,17.572,300.0,209.0,194.0,62.24726663149682,0.0006049999999999992,0.0003333333333333381,0.0,0.0
24.04,2.4,122.9,26.1,17.567,301.0,210.0,193.0,59.5593164815004,0.0005966666666666675,0.000500000000000019,1.0,-1.0
24.24,2.42,122.9,26.02,17.582,300.0,209.0,194.0,58.42754799729134,0.0006216666666666685,0.000500000000000019,0.0,0.0
24.44,2.44,123.0,25.93,17.581,301.0,210.0,193.0,57.15430845255618,0.0006199999999999998,0.0006666666666666762,1.0,-1.0
24.64,2.46,122.9,25.88,17.58,300.0,209.0,194.0,56.44695314992553,0.0006183333333333311,0.000500000000000019,0.0,0.0
24.85,2.48,123.0,25.58,17.565,300.0,209.0,194.0,52.20282133414164,0.0005933333333333361,0.0006666666666666762,0.0,0.0
25.05,2.5,123.1,25.22,17.57,301.0,209.0,194.0,47.109863155201,0.0006016666666666678,0.0008333333333333334,0.0,0.0
25.25,2.52,123.0,24.68,17.574,301.0,209.0,194.0,39.47042588679003,0.0006083333333333367,0.0006666666666666762,0.0,0.0
25.45,2.54,123.0,23.52,17.547,301.0,209.0,194.0,23.059782865759043,0.000563333333333335,0.0006666666666666762,0.0,0.0
25.65,2.56,122.9,22.75,17.518,301.0,209.0,193.0,12.166511205247103,0.0005150000000000018,0.000500000000000019,0.0,-1.0
25.86,2.58,122.9,22.17,17.516,300.0,209.0,194.0,3.961189694731633,0.0005116666666666644,0.000500000000000019,0.0,0.0
26.06,2.6,122.9,21.07,17.475,301.0,209.0,194.0,-11.600626963142597,0.0004433333333333363,0.000500000000000019,0.0,0.0
26.26,2.62,122.8,20.55,17.48,300.0,209.0,194.0,-18.95712211050131,0.000451666666666668,0.0003333333333333381,0.0,0.0
26.46,2.64,122.9,20.08,17.448,301.0,209.0,194.0,-25.606261955229414,0.00039833333333333463,0.000500000000000019,0.0,0.0
26.66,2.66,122.9,19.68,17.429000000000002,300.0,209.0,193.0,-31.26510437627456,0.0003666666666666707,0.000500000000000019,0.0,-1.0
26.87,2.68,122.8,18.67,17.401,300.0,209.0,194.0,-45.553681489413584,0.0003200000000000003,0.0003333333333333381,0.0,0.0
27.07,2.7,122.8,18.52,17.397000000000002,301.0,209.0,194.0,-47.67574739730555,0.00031333333333333734,0.0003333333333333381,0.0,0.0
27.27,2.72,122.7,18.09,17.371,300.0,209.0,194.0,-53.7590029999291,0.0002699999999999984,0.00016666666666668086,0.0,0.0
27.47,2.74,122.7,17.71,17.345,301.0,209.0,194.0,-59.134903299921994,0.00022666666666666538,0.00016666666666668086,0.0,0.0
27.67,2.76,122.7,17.54,17.34,300.0,209.0,194.0,-61.53991132886622,0.00021833333333333373,0.00016666666666668086,0.0,0.0
27.88,2.78,122.6,17.42,17.335,300.0,209.0,194.0,-63.23756405517973,0.00021000000000000204,0.0,0.0,0.0
28.08,2.8,122.8,17.15,17.329,301.0,209.0,194.0,-67.05728268938526,0.00020000000000000166,0.0003333333333333381,0.0,0.0
28.28,2.82,122.7,17.21,17.315,301.0,209.0,194.0,-66.20845632622846,0.00017666666666666942,0.00016666666666668086,0.0,0.0
28.48,2.84,122.8,17.11,17.315,300.0,209.0,194.0,-67.62316693148976,0.00017666666666666942,0.0003333333333333381,0.0,0.0
28.68,2.86,122.8,17.18,17.328,300.0,209.0,194.0,-66.63286950780686,0.00019833333333333294,0.0003333333333333381,0.0,0.0
28.89,2.88,122.7,17.13,17.323,300.0,209.0,194.0,-67.34022481043752,0.00019000000000000128,0.00016666666666668086,0.0,0.0
29.09,2.9,122.7,17.14,17.322,301.0,209.0,194.0,-67.19875374991136,0.00018833333333333256,0.00016666666666668086,0.0,0.0
29.29,2.92,122.7,17.24,17.327,300.0,209.0,193.0,-65.7840431446501,0.00019666666666667018,0.00016666666666668086,0.0,-1.0
