时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,121.0,22.03,15.373,301.0,204.0,190.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,120.8,22.02,15.354000000000001,301.0,204.0,188.0,-0.1414710605261513,-3.166666666666392e-05,-0.0003333333333333381,0.0,-2.0
0.4,0.04,120.8,22.0,15.36,301.0,205.0,190.0,-0.42441318157840363,-2.16666666666665e-05,-0.0003333333333333381,1.0,0.0
0.61,0.06,120.8,21.86,15.374,301.0,205.0,189.0,-2.4050080289442204,1.6666666666687036e-06,-0.0003333333333333381,1.0,-1.0
0.81,0.08,120.9,21.88,15.353,301.0,204.0,190.0,-2.122065907891968,-3.3333333333332623e-05,-0.0001666666666666572,0.0,0.0
1.01,0.1,120.9,22.08,15.362,301.0,205.0,190.0,0.7073553026306058,-1.8333333333332056e-05,-0.0001666666666666572,1.0,0.0
1.21,0.12,120.9,22.12,15.36,300.0,205.0,189.0,1.2732395447351608,-2.16666666666665e-05,-0.0001666666666666572,1.0,-1.0
1.41,0.14,120.8,22.22,15.368,300.0,205.0,189.0,2.6879501499964222,-8.333333333331675e-06,-0.0003333333333333381,1.0,-1.0
1.62,0.16,120.9,22.58,15.380999999999998,300.0,205.0,189.0,7.780908328937065,1.3333333333331865e-05,-0.0001666666666666572,1.0,-1.0
1.82,0.18,120.8,22.84,15.383,301.0,204.0,190.0,11.459155902616446,1.6666666666666312e-05,-0.0003333333333333381,0.0,0.0
2.02,0.2,120.8,23.06,15.382,301.0,205.0,190.0,14.571519234191273,1.5000000000000568e-05,-0.0003333333333333381,1.0,0.0
2.22,0.22,120.9,23.25,15.395,301.0,205.0,190.0,17.259469384187746,3.666666666666707e-05,-0.0001666666666666572,1.0,0.0
2.42,0.24,120.9,23.38,15.405999999999999,301.0,203.0,190.0,19.09859317102741,5.499999999999912e-05,-0.0001666666666666572,-1.0,0.0
2.63,0.26,120.9,23.75,15.41,301.0,204.0,190.0,24.333022410494205,6.166666666666801e-05,-0.0001666666666666572,0.0,0.0
2.83,0.28,120.9,23.72,15.422,301.0,205.0,189.0,23.9086092289158,8.166666666666877e-05,-0.0001666666666666572,1.0,-1.0
3.03,0.3,120.9,24.11,15.417,301.0,205.0,190.0,29.425980589434847,7.333333333333414e-05,-0.0001666666666666572,1.0,0.0
3.23,0.32,120.9,23.95,15.44,301.0,204.0,190.0,27.162443621016777,0.00011166666666666695,-0.0001666666666666572,0.0,0.0
3.43,0.34,120.9,24.07,15.458,300.0,205.0,189.0,28.86009634733034,0.00014166666666666809,-0.0001666666666666572,1.0,-1.0
3.64,0.36,121.1,24.03,15.450999999999999,301.0,204.0,190.0,28.29421210522584,0.000129999999999999,0.0001666666666666572,0.0,0.0
3.84,0.38,120.9,23.93,15.459000000000001,301.0,205.0,190.0,26.879501499964526,0.00014333333333333678,-0.0001666666666666572,1.0,0.0
4.04,0.4,120.9,23.95,15.453,300.0,205.0,190.0,27.162443621016777,0.00013333333333333345,-0.0001666666666666572,1.0,0.0
4.24,0.42,120.9,23.8,15.466,300.0,205.0,190.0,25.04037771312486,0.00015499999999999995,-0.0001666666666666572,1.0,0.0
4.44,0.44,120.9,23.76,15.470999999999998,300.0,205.0,190.0,24.474493471020356,0.00016333333333333163,-0.0001666666666666572,1.0,0.0
4.65,0.46,120.9,23.65,15.47,301.0,204.0,190.0,22.918311805232893,0.00016166666666666884,-0.0001666666666666572,0.0,0.0
4.85,0.48,121.1,23.57,15.479000000000001,300.0,205.0,190.0,21.78654332102388,0.00017666666666666942,0.0001666666666666572,1.0,0.0
5.05,0.5,121.0,23.5,15.482000000000001,301.0,204.0,190.0,20.796245897340974,0.0001816666666666696,0.0,0.0,0.0
5.25,0.52,121.0,23.56,15.457,301.0,204.0,190.0,21.64507226049773,0.00014000000000000235,0.0,0.0,0.0
5.45,0.54,121.0,23.32,15.472999999999999,301.0,204.0,189.0,18.249766807870653,0.00016666666666666606,0.0,0.0,-1.0
5.66,0.56,121.0,23.34,15.472000000000001,301.0,204.0,190.0,18.532708928922904,0.00016500000000000328,0.0,0.0,0.0
5.86,0.58,121.1,22.72,15.470999999999998,301.0,204.0,190.0,9.761503176302881,0.00016333333333333163,0.0001666666666666572,0.0,0.0
6.06,0.6,121.0,22.38,15.465,301.0,204.0,190.0,4.951487118414492,0.0001533333333333342,0.0,0.0,0.0
6.26,0.62,121.0,22.01,15.452,301.0,204.0,190.0,-0.28294212105225236,0.0001316666666666677,0.0,0.0,0.0
6.46,0.64,120.9,21.62,15.44,301.0,205.0,189.0,-5.8003134815712984,0.00011166666666666695,-0.0001666666666666572,1.0,-1.0
6.67,0.66,120.9,21.34,15.439,300.0,205.0,189.0,-9.761503176302933,0.00011000000000000121,-0.0001666666666666572,1.0,-1.0
6.87,0.68,121.0,21.09,15.425,301.0,204.0,189.0,-13.298279689456162,8.666666666666896e-05,0.0,0.0,-1.0
7.07,0.7,120.8,20.45,15.417,301.0,205.0,189.0,-22.352427563128437,7.333333333333414e-05,-0.0003333333333333381,1.0,-1.0
7.27,0.72,120.9,20.26,15.414000000000001,300.0,204.0,190.0,-25.04037771312486,6.833333333333691e-05,-0.0001666666666666572,0.0,0.0
7.47,0.74,121.0,19.85,15.395999999999999,300.0,205.0,189.0,-30.84069119469616,3.833333333333281e-05,0.0,1.0,-1.0
7.68,0.76,121.0,19.65,15.402000000000001,300.0,205.0,189.0,-33.67011240521878,4.833333333333615e-05,0.0,1.0,-1.0
7.88,0.78,121.0,19.28,15.384,301.0,205.0,189.0,-38.90454164468553,1.8333333333335013e-05,0.0,1.0,-1.0
8.08,0.8,120.9,19.29,15.373,300.0,205.0,190.0,-38.76307058415942,0.0,-0.0001666666666666572,1.0,0.0
8.28,0.82,120.9,19.08,15.380999999999998,300.0,204.0,189.0,-41.73396285520815,1.3333333333331865e-05,-0.0001666666666666572,0.0,-1.0
8.48,0.84,120.9,19.01,15.388,301.0,204.0,189.0,-42.72426027889101,2.5000000000000946e-05,-0.0001666666666666572,0.0,-1.0
8.69,0.86,120.9,18.99,15.375,300.0,205.0,189.0,-43.00720239994331,3.3333333333344463e-06,-0.0001666666666666572,1.0,-1.0
8.89,0.88,120.9,18.99,15.378,300.0,204.0,190.0,-43.00720239994331,8.333333333334636e-06,-0.0001666666666666572,0.0,0.0
9.09,0.9,120.9,19.1,15.370999999999999,301.0,204.0,190.0,-41.45102073415585,-3.3333333333344463e-06,-0.0001666666666666572,0.0,0.0
9.29,0.92,121.0,19.17,15.372,300.0,205.0,188.0,-40.460723310472936,-1.666666666665743e-06,0.0,1.0,-2.0
9.49,0.94,120.9,19.19,15.369000000000002,300.0,204.0,190.0,-40.177781189420685,-6.666666666662972e-06,-0.0001666666666666572,0.0,0.0
9.7,0.96,120.9,19.15,15.389000000000001,301.0,204.0,189.0,-40.743665431525244,2.666666666666965e-05,-0.0001666666666666572,0.0,-1.0
9.9,0.99,120.9,19.21,15.367,300.0,204.0,189.0,-39.894839068368434,-9.999999999997419e-06,-0.0001666666666666572,0.0,-1.0
10.1,1.01,121.0,19.66,15.364,301.0,204.0,189.0,-33.52864134469263,-1.4999999999997608e-05,0.0,0.0,-1.0
10.3,1.03,120.9,20.0,15.374,301.0,205.0,189.0,-28.71862528680424,1.6666666666687036e-06,-0.0001666666666666572,1.0,-1.0
10.5,1.05,120.8,20.14,15.385,301.0,205.0,189.0,-26.738030439438425,2.0000000000000757e-05,-0.0003333333333333381,1.0,-1.0
10.71,1.07,120.8,20.94,15.392999999999999,300.0,205.0,189.0,-15.42034559734808,3.3333333333332623e-05,-0.0003333333333333381,1.0,-1.0
10.91,1.09,120.9,21.22,15.409,300.0,205.0,189.0,-11.459155902616496,6.000000000000227e-05,-0.0001666666666666572,1.0,-1.0
11.11,1.11,121.0,21.61,15.408,300.0,205.0,190.0,-5.94178454209745,5.833333333333357e-05,0.0,1.0,0.0
11.31,1.13,121.0,22.21,15.444,300.0,205.0,190.0,2.5464790894703215,0.00011833333333333585,0.0,1.0,0.0
11.51,1.15,121.1,22.45,15.44,300.0,205.0,189.0,5.9417845420974,0.00011166666666666695,0.0001666666666666572,1.0,-1.0
11.72,1.17,121.0,22.74,15.44,301.0,205.0,190.0,10.044445297355134,0.00011166666666666695,0.0,1.0,0.0
11.92,1.19,121.0,23.3,15.47,300.0,205.0,190.0,17.966824686818402,0.00016166666666666884,0.0,1.0,0.0
12.12,1.21,121.0,23.53,15.47,300.0,205.0,190.0,21.22065907891938,0.00016166666666666884,0.0,1.0,0.0
12.32,1.23,121.0,23.72,15.494000000000002,301.0,204.0,190.0,23.9086092289158,0.00020166666666667036,0.0,0.0,0.0
12.52,1.25,120.9,23.95,15.495,301.0,205.0,190.0,27.162443621016777,0.00020333333333333314,-0.0001666666666666572,1.0,0.0
12.73,1.27,121.0,24.17,15.515,300.0,205.0,190.0,30.274806952591653,0.00023666666666666871,0.0,1.0,0.0
12.93,1.29,121.0,24.15,15.515,300.0,205.0,190.0,29.991864831539353,0.00023666666666666871,0.0,1.0,0.0
13.13,1.31,120.9,24.24,15.532,300.0,205.0,190.0,31.26510437627451,0.0002650000000000012,-0.0001666666666666572,1.0,0.0
13.33,1.33,121.1,24.25,15.536,300.0,205.0,190.0,31.406575436800665,0.00027166666666666707,0.0001666666666666572,1.0,0.0
13.53,1.35,121.0,24.09,15.537,300.0,205.0,191.0,29.143038468382596,0.0002733333333333358,0.0,1.0,1.0
13.74,1.37,121.1,24.18,15.546,301.0,205.0,190.0,30.416278013117754,0.0002883333333333334,0.0001666666666666572,1.0,0.0
13.94,1.39,121.1,24.15,15.55,300.0,205.0,190.0,29.991864831539353,0.0002950000000000023,0.0001666666666666572,1.0,0.0
14.14,1.41,120.9,24.03,15.558,301.0,205.0,190.0,28.29421210522584,0.0003083333333333342,-0.0001666666666666572,1.0,0.0
14.34,1.43,121.1,23.92,15.575999999999999,300.0,205.0,190.0,26.738030439438425,0.00033833333333333236,0.0001666666666666572,1.0,0.0
14.54,1.45,121.0,23.89,15.564,301.0,205.0,190.0,26.31361725786002,0.00031833333333333453,0.0,1.0,0.0
14.75,1.47,121.1,23.66,15.575,300.0,205.0,190.0,23.059782865759043,0.0003366666666666666,0.0001666666666666572,1.0,0.0
14.95,1.49,121.0,23.78,15.57,301.0,205.0,190.0,24.757435592072607,0.00032833333333333494,0.0,1.0,0.0
15.15,1.51,121.0,23.78,15.567,301.0,205.0,190.0,24.757435592072607,0.0003233333333333347,0.0,1.0,0.0
15.35,1.53,121.1,23.55,15.569,301.0,205.0,190.0,21.50360119997163,0.00032666666666666917,0.0001666666666666572,1.0,0.0
15.55,1.55,121.1,23.37,15.58,300.0,205.0,190.0,18.95712211050131,0.00034500000000000123,0.0001666666666666572,1.0,0.0
15.76,1.57,121.1,23.19,15.562999999999999,301.0,204.0,190.0,16.41064302103099,0.00031666666666666583,0.0001666666666666572,0.0,0.0
15.96,1.59,121.1,22.6,15.583,301.0,205.0,190.0,8.063850449989367,0.0003500000000000014,0.0001666666666666572,1.0,0.0
16.16,1.61,121.0,22.17,15.556,300.0,205.0,190.0,1.9805948473658166,0.0003049999999999997,0.0,1.0,0.0
16.36,1.63,121.0,21.79,15.552999999999999,301.0,205.0,190.0,-3.3953054526271287,0.00029999999999999954,0.0,1.0,0.0
16.56,1.65,121.1,21.45,15.544,301.0,205.0,190.0,-8.20532151051552,0.00028500000000000194,0.0001666666666666572,1.0,0.0
16.77,1.67,121.2,21.0,15.533,301.0,205.0,190.0,-14.571519234191323,0.0002666666666666669,0.0003333333333333381,1.0,0.0
16.97,1.69,121.0,20.78,15.508,300.0,205.0,190.0,-17.683882565766147,0.00022499999999999964,0.0,1.0,0.0
17.17,1.71,121.0,20.48,15.527000000000001,301.0,205.0,190.0,-21.928014381550035,0.00025666666666666947,0.0,1.0,0.0
17.37,1.73,121.0,20.35,15.501,301.0,205.0,190.0,-23.7671381683897,0.00021333333333333352,0.0,1.0,0.0
17.57,1.75,121.0,19.89,15.485,300.0,204.0,190.0,-30.274806952591653,0.00018666666666666682,0.0,0.0,0.0
17.78,1.77,120.9,19.56,15.488,300.0,205.0,190.0,-34.94335194995394,0.00019166666666666702,-0.0001666666666666572,1.0,0.0
17.98,1.79,121.1,19.52,15.469000000000001,301.0,205.0,189.0,-35.509236192058445,0.0001600000000000031,0.0001666666666666572,1.0,-1.0
18.18,1.81,121.1,19.32,15.472999999999999,300.0,205.0,190.0,-38.33865740258102,0.00016666666666666606,0.0001666666666666572,1.0,0.0
18.38,1.83,120.9,19.19,15.482999999999999,300.0,205.0,190.0,-40.177781189420685,0.0001833333333333324,-0.0001666666666666572,1.0,0.0
18.58,1.85,121.0,19.29,15.470999999999998,301.0,204.0,190.0,-38.76307058415942,0.00016333333333333163,0.0,0.0,0.0
