时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,173.1,21.19,-5.5760000000000005,300,248,226,0.0,0.0,0
0.2,0.02,173.2,21.12,-5.584,300,249,226,0.02,0.09999999999999432,1
0.4,0.04,173.1,21.25,-5.58,299,249,225,0.04,0.0,1
0.61,0.06,173.2,21.23,-5.582000000000001,300,248,226,0.06,0.09999999999999432,0
0.81,0.08,173.2,21.44,-5.568,300,249,226,0.08,0.09999999999999432,1
1.01,0.1,173.2,21.92,-5.574,300,249,226,0.1,0.09999999999999432,1
1.21,0.12,173.1,22.07,-5.556,300,249,226,0.12,0.0,1
1.41,0.14,173.1,22.3,-5.547999999999999,300,248,225,0.14,0.0,0
1.62,0.16,173.1,23.03,-5.531000000000001,301,249,226,0.16,0.0,1
1.82,0.18,173.1,23.26,-5.521,300,248,225,0.18,0.0,0
2.02,0.2,173.3,23.48,-5.516,301,248,224,0.2,0.20000000000001705,0
2.22,0.22,173.3,23.73,-5.494,301,247,224,0.22,0.20000000000001705,-1
2.42,0.24,173.2,24.2,-5.48,301,247,224,0.24,0.09999999999999432,-1
2.63,0.26,173.2,24.38,-5.477,302,247,225,0.26,0.09999999999999432,-1
2.83,0.28,173.2,24.48,-5.462999999999999,301,246,224,0.28,0.09999999999999432,-2
3.03,0.3,173.3,24.66,-5.447,301,246,223,0.3,0.20000000000001705,-2
3.23,0.32,173.4,24.79,-5.452000000000001,301,247,224,0.32,0.30000000000001137,-1
3.43,0.34,173.3,24.94,-5.449,301,246,223,0.34,0.20000000000001705,-2
3.64,0.36,173.3,24.83,-5.435,300,246,223,0.36,0.20000000000001705,-2
3.84,0.38,173.4,24.91,-5.435,301,247,223,0.38,0.30000000000001137,-1
4.04,0.4,173.3,24.77,-5.436,301,246,223,0.4,0.20000000000001705,-2
4.24,0.42,173.3,24.67,-5.415,301,246,223,0.42,0.20000000000001705,-2
4.44,0.44,173.3,24.78,-5.432,301,246,223,0.44,0.20000000000001705,-2
4.65,0.46,173.2,24.43,-5.435,301,247,223,0.46,0.09999999999999432,-1
4.85,0.48,173.3,24.19,-5.422000000000001,302,246,223,0.48,0.20000000000001705,-2
5.05,0.5,173.3,23.71,-5.425,301,246,223,0.5,0.20000000000001705,-2
5.25,0.52,173.3,22.97,-5.428999999999999,301,246,223,0.52,0.20000000000001705,-2
5.45,0.54,173.3,22.63,-5.447,301,246,224,0.54,0.20000000000001705,-2
5.66,0.56,173.3,22.32,-5.477,301,247,223,0.56,0.20000000000001705,-1
5.86,0.58,173.2,21.53,-5.476,300,247,224,0.58,0.09999999999999432,-1
6.06,0.6,173.3,20.89,-5.492999999999999,300,246,224,0.6,0.20000000000001705,-2
6.26,0.62,173.2,20.47,-5.507000000000001,300,247,223,0.62,0.09999999999999432,-1
6.46,0.64,173.2,19.88,-5.526,300,247,224,0.64,0.09999999999999432,-1
6.67,0.66,173.2,19.47,-5.535,300,247,225,0.66,0.09999999999999432,-1
6.87,0.68,173.2,19.09,-5.553,300,247,225,0.68,0.09999999999999432,-1
7.07,0.7,173.2,18.89,-5.57,300,248,225,0.7000000000000001,0.09999999999999432,0
7.27,0.72,173.1,18.44,-5.58,300,247,225,0.72,0.0,-1
7.47,0.74,173.1,18.19,-5.5889999999999995,300,248,226,0.74,0.0,0
7.68,0.76,173.2,18.08,-5.598,300,248,226,0.76,0.09999999999999432,0
7.88,0.78,173.1,17.84,-5.617000000000001,300,249,225,0.78,0.0,1
8.08,0.8,173.1,17.67,-5.6,300,249,225,0.8,0.0,1
8.28,0.82,173.0,17.47,-5.6,300,249,226,0.8200000000000001,-0.09999999999999432,1
8.48,0.84,173.0,17.54,-5.612,300,249,226,0.84,-0.09999999999999432,1
8.69,0.86,173.1,17.53,-5.614,299,249,226,0.86,0.0,1
8.89,0.88,173.0,17.5,-5.62,300,249,226,0.88,-0.09999999999999432,1
9.09,0.9,173.1,17.67,-5.622999999999999,299,249,227,0.9,0.0,1
9.29,0.92,173.1,17.63,-5.631,300,249,226,0.92,0.0,1
9.49,0.94,173.1,17.7,-5.629,300,249,226,0.9400000000000001,0.0,1
9.7,0.96,173.1,17.88,-5.626,300,249,226,0.96,0.0,1
9.9,0.98,173.1,18.75,-5.649,300,249,225,0.98,0.0,1
10.1,1.01,173.1,18.97,-5.617000000000001,300,249,226,1.0,0.0,1
10.3,1.03,173.1,19.23,-5.611000000000001,300,249,226,1.02,0.0,1
10.5,1.05,173.1,19.37,-5.591,301,250,226,1.04,0.0,2
10.71,1.07,173.1,20.5,-5.575,300,249,225,1.06,0.0,1
10.91,1.09,173.1,21.03,-5.5489999999999995,300,248,226,1.08,0.0,0
11.11,1.11,173.2,21.39,-5.5329999999999995,300,249,225,1.1,0.09999999999999432,1
11.31,1.13,173.1,22.2,-5.517,300,248,224,1.12,0.0,0
11.51,1.15,173.2,22.67,-5.5120000000000005,301,247,225,1.1400000000000001,0.09999999999999432,-1
11.72,1.17,173.2,23.0,-5.502999999999999,301,247,225,1.16,0.09999999999999432,-1
11.92,1.19,173.2,23.35,-5.485,301,247,224,1.18,0.09999999999999432,-1
12.12,1.21,173.3,23.98,-5.454,301,246,224,1.2,0.20000000000001705,-2
12.32,1.23,173.3,24.18,-5.45,301,247,224,1.22,0.20000000000001705,-1
12.52,1.25,173.3,24.43,-5.442,301,247,224,1.24,0.20000000000001705,-1
