时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,136.8,21.37,-6.377999999999999,299,227,205,0.0,0.0,0
0.2,0.02,136.9,21.09,-6.3660000000000005,301,226,205,0.02,0.09999999999999432,-1
0.4,0.04,136.9,21.36,-6.377000000000001,300,226,205,0.04,0.09999999999999432,-1
0.61,0.06,136.8,21.5,-6.375,300,227,204,0.06,0.0,0
0.81,0.08,136.7,21.64,-6.365,299,227,205,0.08,-0.10000000000002274,0
1.01,0.1,136.7,22.11,-6.37,300,227,205,0.1,-0.10000000000002274,0
1.21,0.12,136.8,23.09,-6.3420000000000005,300,226,204,0.12,0.0,-1
1.41,0.14,136.8,23.5,-6.337000000000001,301,226,204,0.14,0.0,-1
1.62,0.16,136.8,23.96,-6.313,300,226,204,0.16,0.0,-1
1.82,0.18,136.9,24.79,-6.292999999999999,300,225,204,0.18,0.09999999999999432,-2
2.02,0.2,137.0,25.26,-6.287999999999999,301,225,203,0.2,0.19999999999998863,-2
2.22,0.22,137.0,25.62,-6.263999999999999,300,224,203,0.22,0.19999999999998863,-3
2.42,0.24,137.1,25.7,-6.242000000000001,302,224,203,0.24,0.29999999999998295,-3
2.63,0.26,137.0,26.49,-6.239,301,224,202,0.26,0.19999999999998863,-3
2.83,0.28,137.1,26.72,-6.215,301,224,202,0.28,0.29999999999998295,-3
3.03,0.3,137.2,26.72,-6.229,301,224,202,0.3,0.39999999999997726,-3
3.23,0.32,137.1,26.99,-6.2170000000000005,301,223,202,0.32,0.29999999999998295,-4
3.43,0.34,137.1,26.86,-6.178,301,223,202,0.34,0.29999999999998295,-4
3.64,0.36,137.1,26.64,-6.192,300,224,202,0.36,0.29999999999998295,-3
3.84,0.38,137.1,26.55,-6.239,301,224,202,0.38,0.29999999999998295,-3
4.04,0.4,137.1,26.67,-6.225,301,223,202,0.4,0.29999999999998295,-4
4.24,0.42,137.1,26.7,-6.226,301,223,202,0.42,0.29999999999998295,-4
4.44,0.44,137.2,26.56,-6.218999999999999,301,224,202,0.44,0.39999999999997726,-3
4.65,0.46,137.2,25.77,-6.228,301,223,202,0.46,0.39999999999997726,-4
4.85,0.48,137.1,25.07,-6.228,301,224,202,0.48,0.29999999999998295,-3
5.05,0.5,137.2,24.52,-6.224,301,224,202,0.5,0.39999999999997726,-3
5.25,0.52,137.2,23.56,-6.245,301,224,202,0.52,0.39999999999997726,-3
5.45,0.54,137.2,22.87,-6.234,300,224,202,0.54,0.39999999999997726,-3
5.66,0.56,137.1,22.29,-6.274,301,224,201,0.56,0.29999999999998295,-3
5.86,0.58,137.1,21.66,-6.284,301,224,202,0.58,0.29999999999998295,-3
6.06,0.6,137.0,20.36,-6.3,300,224,203,0.6,0.19999999999998863,-3
6.26,0.62,137.1,19.87,-6.285,300,224,203,0.62,0.29999999999998295,-3
6.46,0.64,137.0,19.25,-6.305,300,225,202,0.64,0.19999999999998863,-2
6.67,0.66,137.0,18.34,-6.327999999999999,300,224,202,0.66,0.19999999999998863,-3
6.87,0.68,137.0,17.98,-6.336,300,225,202,0.68,0.19999999999998863,-2
7.07,0.7,136.9,17.61,-6.325,300,225,204,0.7000000000000001,0.09999999999999432,-2
7.27,0.72,136.8,16.86,-6.372000000000001,299,226,205,0.72,0.0,-1
7.47,0.74,136.8,16.61,-6.374,300,226,204,0.74,0.0,-1
7.68,0.76,136.7,16.24,-6.365,300,226,205,0.76,-0.10000000000002274,-1
7.88,0.78,136.7,16.21,-6.375,299,226,205,0.78,-0.10000000000002274,-1
8.08,0.8,136.8,15.84,-6.391,299,227,205,0.8,0.0,0
8.28,0.82,136.8,15.88,-6.3629999999999995,300,226,205,0.8200000000000001,0.0,-1
8.48,0.84,136.7,16.02,-6.406000000000001,299,227,205,0.84,-0.10000000000002274,0
8.69,0.86,136.7,16.0,-6.406000000000001,299,227,205,0.86,-0.10000000000002274,0
8.89,0.88,136.8,15.95,-6.422999999999999,299,226,205,0.88,0.0,-1
9.09,0.9,136.8,16.13,-6.392,299,227,205,0.9,0.0,0
9.29,0.92,136.7,16.05,-6.405,299,226,206,0.92,-0.10000000000002274,-1
9.49,0.94,136.7,16.52,-6.406000000000001,300,227,205,0.9400000000000001,-0.10000000000002274,0
9.7,0.96,136.7,17.13,-6.4110000000000005,299,226,205,0.96,-0.10000000000002274,-1
9.9,0.99,136.8,17.55,-6.403,300,226,205,0.98,0.0,-1
10.1,1.01,136.8,18.68,-6.377000000000001,299,228,205,1.0,0.0,1
10.3,1.03,136.8,19.25,-6.376,300,227,205,1.02,0.0,0
10.5,1.05,136.9,19.65,-6.393,299,226,205,1.04,0.09999999999999432,-1
10.71,1.07,136.9,21.25,-6.345,300,226,204,1.06,0.09999999999999432,-1
10.91,1.09,137.0,21.71,-6.335,300,226,204,1.08,0.19999999999998863,-1
11.11,1.11,136.9,22.14,-6.303,300,226,204,1.1,0.09999999999999432,-1
11.31,1.13,137.0,22.94,-6.296,300,226,204,1.12,0.19999999999998863,-1
11.51,1.15,137.0,24.02,-6.276,300,225,204,1.1400000000000001,0.19999999999998863,-2
11.72,1.17,137.0,24.59,-6.234,300,225,204,1.16,0.19999999999998863,-2
11.92,1.19,137.0,24.97,-6.232,300,225,204,1.18,0.19999999999998863,-2
12.12,1.21,137.1,25.89,-6.2,300,224,203,1.2,0.29999999999998295,-3
12.32,1.23,137.1,26.31,-6.209,301,224,203,1.22,0.29999999999998295,-3
12.52,1.25,137.2,26.7,-6.21,301,224,203,1.24,0.39999999999997726,-3
12.73,1.27,137.2,26.76,-6.185,301,224,202,1.26,0.39999999999997726,-3
12.93,1.29,137.2,27.16,-6.195,301,224,203,1.28,0.39999999999997726,-3
13.13,1.31,137.1,27.04,-6.19,301,224,203,1.3,0.29999999999998295,-3
13.33,1.33,137.2,27.01,-6.16,301,223,202,1.32,0.39999999999997726,-4
13.53,1.35,137.3,27.11,-6.171,301,223,202,1.34,0.5,-4
