时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,101.4,21.23,-7.011,300,239,219,0.0,0.0,0
0.2,0.02,101.4,21.19,-7.023,300,238,219,0.02,0.0,-1
0.4,0.04,101.3,21.25,-7.023,300,239,219,0.04,-0.10000000000000853,0
0.61,0.06,101.4,21.49,-7.02,300,239,219,0.06,0.0,0
0.81,0.08,101.3,22.31,-7.024,300,238,219,0.08,-0.10000000000000853,-1
1.01,0.1,101.4,22.67,-7.017,300,239,219,0.1,0.0,0
1.21,0.12,101.4,23.19,-7.029,300,238,219,0.12,0.0,-1
1.41,0.14,101.4,23.49,-7.013999999999999,301,238,219,0.14,0.0,-1
1.62,0.16,101.6,24.01,-7.024,300,238,218,0.16,0.19999999999998863,-1
1.82,0.18,101.6,24.11,-7.002999999999999,301,238,218,0.18,0.19999999999998863,-1
2.02,0.2,101.7,24.21,-6.968,301,238,218,0.2,0.29999999999999716,-1
2.22,0.22,101.9,24.51,-6.9,301,237,218,0.22,0.5,-2
2.42,0.24,102.0,24.64,-6.854,301,237,218,0.24,0.5999999999999943,-2
2.63,0.26,102.1,24.86,-6.827000000000001,301,237,218,0.26,0.6999999999999886,-2
2.83,0.28,102.2,24.97,-6.776,301,237,218,0.28,0.7999999999999972,-2
3.03,0.3,102.5,25.32,-6.6770000000000005,301,237,217,0.3,1.0999999999999943,-2
3.23,0.32,102.7,25.37,-6.642,301,237,217,0.32,1.2999999999999972,-2
3.43,0.34,102.7,25.42,-6.587000000000001,301,237,217,0.34,1.2999999999999972,-2
3.64,0.36,103.0,25.53,-6.51,301,236,217,0.36,1.5999999999999943,-3
3.84,0.38,103.0,25.48,-6.482,301,236,217,0.38,1.5999999999999943,-3
4.04,0.4,103.1,25.44,-6.446000000000001,301,236,217,0.4,1.6999999999999886,-3
4.24,0.42,103.2,25.24,-6.405,301,237,217,0.42,1.7999999999999972,-2
4.44,0.44,103.1,25.04,-6.397,300,236,217,0.44,1.6999999999999886,-3
4.65,0.46,103.2,24.66,-6.391,300,237,217,0.46,1.7999999999999972,-2
4.85,0.48,103.2,24.5,-6.385,301,236,217,0.48,1.7999999999999972,-3
5.05,0.5,103.3,24.17,-6.376,301,237,217,0.5,1.8999999999999915,-2
5.25,0.52,103.2,23.86,-6.381,300,236,217,0.52,1.7999999999999972,-3
5.45,0.54,103.2,23.79,-6.379,300,236,217,0.54,1.7999999999999972,-3
5.66,0.56,103.2,22.84,-6.369,301,237,217,0.56,1.7999999999999972,-2
