时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,163.4,21.51,3.892,300,247,228,0.0,0.0,0
0.2,0.02,163.3,21.51,3.885,300,247,227,0.02,-0.09999999999999432,0
0.4,0.04,163.4,21.87,3.895,300,247,228,0.04,0.0,0
0.61,0.06,163.4,22.51,3.911,299,247,228,0.06,0.0,0
0.81,0.08,163.4,23.62,3.9410000000000003,300,247,228,0.08,0.0,0
1.01,0.1,163.4,25.94,4.052,301,245,227,0.1,0.0,-2
1.21,0.12,163.6,27.32,4.11,301,245,226,0.12,0.19999999999998863,-2
1.41,0.14,163.6,28.66,4.17,301,244,225,0.14,0.19999999999998863,-3
1.62,0.16,163.6,30.9,4.294,302,242,224,0.16,0.19999999999998863,-5
1.82,0.18,163.7,31.8,4.36,302,242,223,0.18,0.29999999999998295,-5
2.02,0.2,163.8,32.61,4.416,302,241,222,0.2,0.4000000000000057,-6
2.22,0.22,163.8,33.32,4.4719999999999995,302,240,221,0.22,0.4000000000000057,-7
2.42,0.24,164.0,34.24,4.593,301,239,220,0.24,0.5999999999999943,-8
2.63,0.26,164.0,34.62,4.668,301,238,219,0.26,0.5999999999999943,-9
2.83,0.28,164.1,34.84,4.7139999999999995,302,237,218,0.28,0.6999999999999886,-10
3.03,0.3,164.1,34.94,4.83,302,236,217,0.3,0.6999999999999886,-11
3.23,0.32,164.2,34.99,4.875,301,236,217,0.32,0.799999999999983,-11
3.43,0.34,164.2,34.87,4.905,301,236,216,0.34,0.799999999999983,-11
3.64,0.36,164.3,34.32,4.946000000000001,301,235,216,0.36,0.9000000000000057,-12
3.84,0.38,164.3,33.88,4.952,300,235,216,0.38,0.9000000000000057,-12
4.04,0.4,164.3,33.54,4.948,300,235,216,0.4,0.9000000000000057,-12
4.24,0.42,164.2,33.24,4.958,300,235,216,0.42,0.799999999999983,-12
4.44,0.44,164.3,31.6,4.96,300,235,217,0.44,0.9000000000000057,-12
4.65,0.46,164.3,30.17,4.942,299,235,216,0.46,0.9000000000000057,-12
4.85,0.48,164.3,29.16,4.92,299,235,216,0.48,0.9000000000000057,-12
5.05,0.5,164.2,26.16,4.863,299,236,217,0.5,0.799999999999983,-11
5.25,0.52,164.2,24.69,4.829,299,236,217,0.52,0.799999999999983,-11
5.45,0.54,164.2,22.98,4.796,299,237,217,0.54,0.799999999999983,-10
5.66,0.56,164.2,21.64,4.75,299,237,218,0.56,0.799999999999983,-10
5.86,0.58,164.1,18.85,4.644,298,238,219,0.58,0.6999999999999886,-9
6.06,0.6,164.1,17.52,4.583,297,238,220,0.6,0.6999999999999886,-9
6.26,0.62,164.0,16.38,4.52,297,239,220,0.62,0.5999999999999943,-8
6.46,0.64,163.9,14.32,4.381,297,242,222,0.64,0.5,-5
6.67,0.66,163.9,13.24,4.2860000000000005,296,243,223,0.66,0.5,-4
6.87,0.68,163.8,12.35,4.194,297,244,224,0.68,0.4000000000000057,-3
7.07,0.7,163.6,10.92,3.972,297,247,227,0.7000000000000001,0.19999999999998863,0
7.27,0.72,163.6,10.39,3.86,296,248,228,0.72,0.19999999999998863,1
7.47,0.74,163.5,9.83,3.752,296,249,230,0.74,0.09999999999999432,2
7.68,0.76,163.4,9.46,3.628,297,251,231,0.76,0.0,4
7.88,0.78,163.2,8.9,3.4139999999999997,297,253,233,0.78,-0.20000000000001705,6
8.08,0.8,163.2,8.69,3.322,297,254,234,0.8,-0.20000000000001705,7
8.28,0.82,163.1,8.49,3.234,297,255,234,0.8200000000000001,-0.30000000000001137,8
8.48,0.84,163.0,8.43,3.1239999999999997,298,257,236,0.84,-0.4000000000000057,10
8.69,0.86,163.0,8.42,3.096,298,257,237,0.86,-0.4000000000000057,10
8.89,0.88,162.9,8.47,3.0869999999999997,298,257,237,0.88,-0.5,10
9.09,0.9,163.0,8.49,3.0989999999999998,298,257,237,0.9,-0.4000000000000057,10
9.29,0.92,163.0,9.48,3.097,300,258,237,0.92,-0.4000000000000057,11
9.49,0.94,163.0,10.39,3.123,299,258,237,0.9400000000000001,-0.4000000000000057,11
9.7,0.96,163.0,10.98,3.19,298,257,237,0.96,-0.4000000000000057,10
9.9,0.98,163.1,12.73,3.3789999999999996,300,259,239,0.98,-0.30000000000001137,12
10.1,1.0,163.3,13.68,3.517,300,259,238,1.0,-0.09999999999999432,12
10.3,1.03,163.4,14.8,3.682,300,257,237,1.02,0.0,10
10.5,1.05,163.5,16.05,3.873,300,256,236,1.04,0.09999999999999432,9
10.71,1.07,163.7,19.97,4.265,303,253,233,1.06,0.29999999999998295,6
10.91,1.09,163.9,22.2,4.446000000000001,303,251,231,1.08,0.5,4
11.11,1.11,164.1,24.38,4.595,303,249,230,1.1,0.6999999999999886,2
11.31,1.13,164.3,28.13,4.857,303,246,226,1.12,0.9000000000000057,-1
11.51,1.15,164.3,29.74,4.958,304,245,226,1.1400000000000001,0.9000000000000057,-2
11.72,1.17,164.4,30.88,5.062,303,243,224,1.16,1.0,-4
11.92,1.19,164.6,32.52,5.252999999999999,302,240,221,1.18,1.1999999999999886,-7
12.12,1.21,164.7,33.46,5.352,303,239,221,1.2,1.299999999999983,-8
12.32,1.23,164.7,34.13,5.446000000000001,303,239,220,1.22,1.299999999999983,-8
12.52,1.25,164.8,34.47,5.524,302,238,218,1.24,1.4000000000000057,-9
12.73,1.27,165.0,35.03,5.686,302,235,217,1.26,1.5999999999999943,-12
12.93,1.29,165.0,35.39,5.757999999999999,303,235,217,1.28,1.5999999999999943,-12
13.13,1.31,165.1,35.41,5.82,302,235,216,1.3,1.6999999999999886,-12
13.33,1.33,165.2,34.97,5.916,299,233,215,1.32,1.799999999999983,-14
13.53,1.35,165.2,34.83,5.94,301,233,215,1.34,1.799999999999983,-14
13.74,1.37,165.2,34.56,5.962999999999999,301,234,216,1.36,1.799999999999983,-13
13.94,1.39,165.2,33.64,5.977,299,233,215,1.3800000000000001,1.799999999999983,-14
14.14,1.41,165.3,33.31,5.984,298,233,214,1.4000000000000001,1.9000000000000057,-14
14.34,1.43,165.2,33.19,5.979,300,234,215,1.42,1.799999999999983,-13
14.54,1.45,165.3,32.07,5.979,301,234,215,1.44,1.9000000000000057,-13
14.75,1.47,165.3,29.23,5.955,298,233,214,1.46,1.9000000000000057,-14
14.95,1.49,165.3,28.04,5.931,298,234,215,1.48,1.9000000000000057,-13
15.15,1.51,165.2,26.47,5.8870000000000005,300,234,215,1.5,1.799999999999983,-13
15.35,1.53,165.2,23.24,5.819,298,235,216,1.52,1.799999999999983,-12
15.55,1.55,165.1,21.85,5.776,298,235,216,1.54,1.6999999999999886,-12
15.76,1.57,165.1,20.55,5.731,298,236,217,1.56,1.6999999999999886,-11
15.96,1.59,165.0,19.01,5.675,298,237,218,1.58,1.5999999999999943,-10
16.16,1.61,165.1,16.67,5.547999999999999,297,237,219,1.6,1.6999999999999886,-10
16.36,1.63,165.0,15.49,5.481,297,239,219,1.62,1.5999999999999943,-8
16.56,1.65,164.9,14.51,5.409,297,241,220,1.6400000000000001,1.5,-6
16.77,1.67,164.8,12.56,5.2010000000000005,296,243,223,1.6600000000000001,1.4000000000000057,-4
16.97,1.69,164.7,11.82,5.1,296,244,225,1.68,1.299999999999983,-3
17.17,1.71,164.6,11.16,4.996,297,246,227,1.7,1.1999999999999886,-1
17.37,1.73,164.4,10.19,4.758,297,250,229,1.72,1.0,3
17.57,1.75,164.4,9.58,4.651,296,251,231,1.74,1.0,4
17.78,1.77,164.3,9.34,4.533,296,252,232,1.76,0.9000000000000057,5
17.98,1.79,164.2,9.14,4.426,298,254,234,1.78,0.799999999999983,7
18.18,1.81,164.0,8.7,4.242,298,256,236,1.8,0.5999999999999943,9
18.38,1.83,164.0,8.61,4.1739999999999995,297,255,235,1.82,0.5999999999999943,8
18.58,1.85,164.0,8.52,4.127,297,256,236,1.84,0.5999999999999943,9
18.79,1.87,164.0,8.81,4.0969999999999995,300,259,239,1.86,0.5999999999999943,12
18.99,1.89,164.0,8.75,4.09,298,258,237,1.8800000000000001,0.5999999999999943,11
19.19,1.91,163.9,8.8,4.098,297,257,237,1.9000000000000001,0.5,10
19.39,1.93,164.0,9.57,4.099,299,258,237,1.92,0.5999999999999943,11
19.59,1.95,164.0,11.11,4.178999999999999,301,259,239,1.94,0.5999999999999943,12
19.8,1.97,164.1,11.84,4.255,299,259,239,1.96,0.6999999999999886,12
20.0,1.99,164.1,12.55,4.368,298,258,238,1.98,0.6999999999999886,11
20.2,2.02,164.3,15.0,4.683,302,259,239,2.0,0.9000000000000057,12
20.4,2.04,164.5,16.19,4.868,302,257,237,2.02,1.0999999999999943,10
20.6,2.06,164.6,17.81,5.073,301,254,235,2.04,1.1999999999999886,7
20.81,2.08,164.8,19.78,5.263999999999999,302,252,233,2.06,1.4000000000000057,5
21.01,2.1,165.0,24.37,5.607,304,250,230,2.08,1.5999999999999943,3
21.21,2.12,165.1,26.22,5.742999999999999,303,248,228,2.1,1.6999999999999886,1
21.41,2.14,165.2,27.93,5.876,302,245,226,2.12,1.799999999999983,-2
21.61,2.16,165.5,30.98,6.09,305,244,224,2.14,2.0999999999999943,-3
21.82,2.18,165.5,31.97,6.19,304,242,223,2.16,2.0999999999999943,-5
22.02,2.2,165.6,32.52,6.2860000000000005,301,240,221,2.18,2.1999999999999886,-7
22.22,2.22,165.7,34.0,6.48,303,238,219,2.2,2.299999999999983,-9
22.42,2.24,165.9,34.68,6.567,304,238,219,2.22,2.5,-9
22.62,2.26,165.9,34.91,6.645,302,237,218,2.24,2.5,-10
22.83,2.28,166.0,34.73,6.718999999999999,299,235,216,2.2600000000000002,2.5999999999999943,-12
23.03,2.3,166.1,35.41,6.872999999999999,302,235,215,2.2800000000000002,2.6999999999999886,-12
23.23,2.32,166.2,35.41,6.916,303,235,216,2.3000000000000003,2.799999999999983,-12
23.43,2.34,166.2,35.13,6.956,300,234,215,2.32,2.799999999999983,-13
23.63,2.36,166.3,34.38,7.01,299,232,213,2.34,2.9000000000000057,-15
23.84,2.38,166.2,34.28,7.028,301,233,215,2.36,2.799999999999983,-14
24.04,2.4,166.3,33.88,7.028,301,234,215,2.38,2.9000000000000057,-13
24.24,2.42,166.3,33.26,7.037999999999999,298,233,214,2.4,2.9000000000000057,-14
24.44,2.44,166.3,32.36,7.025,299,233,214,2.42,2.9000000000000057,-14
24.64,2.46,166.2,30.65,7.024,300,233,215,2.44,2.799999999999983,-14
24.85,2.48,166.3,29.37,7.007000000000001,299,233,215,2.46,2.9000000000000057,-14
25.05,2.5,166.3,26.45,6.957000000000001,298,233,214,2.48,2.9000000000000057,-14
25.25,2.52,166.3,24.98,6.912000000000001,300,234,215,2.5,2.9000000000000057,-13
25.45,2.54,166.1,23.55,6.874,299,235,216,2.52,2.6999999999999886,-12
25.65,2.56,166.2,21.78,6.825,298,235,215,2.54,2.799999999999983,-12
25.86,2.58,166.1,19.13,6.732,298,236,216,2.56,2.6999999999999886,-11
26.06,2.6,166.1,17.9,6.6610000000000005,298,237,218,2.58,2.6999999999999886,-10
26.26,2.62,166.0,16.57,6.597,298,238,219,2.6,2.5999999999999943,-9
26.46,2.64,166.0,14.43,6.4510000000000005,296,239,220,2.62,2.5999999999999943,-8
26.66,2.66,165.8,13.6,6.348,297,241,222,2.64,2.4000000000000057,-6
26.87,2.68,165.8,12.79,6.254,298,243,224,2.66,2.4000000000000057,-4
27.07,2.7,165.6,11.1,6.029,296,246,226,2.68,2.1999999999999886,-1
27.27,2.72,165.5,10.59,5.919,296,248,228,2.7,2.0999999999999943,1
27.47,2.74,165.4,10.25,5.803,298,251,230,2.72,2.0,4
27.67,2.76,165.4,9.82,5.6770000000000005,298,252,232,2.74,2.0,5
27.88,2.78,165.2,8.86,5.4479999999999995,296,252,233,2.7600000000000002,1.799999999999983,5
28.08,2.8,165.1,8.89,5.357,296,254,234,2.7800000000000002,1.6999999999999886,7
28.28,2.82,165.0,8.85,5.274,300,257,236,2.8000000000000003,1.5999999999999943,10
28.48,2.84,164.9,8.56,5.149,298,257,237,2.82,1.5,10
28.68,2.86,164.9,8.45,5.127000000000001,296,257,236,2.84,1.5,10
28.89,2.88,164.9,8.67,5.12,298,258,238,2.86,1.5,11
29.09,2.9,164.9,8.99,5.114,301,259,239,2.88,1.5,12
29.29,2.92,164.9,9.46,5.109,298,258,238,2.9,1.5,11
29.49,2.94,164.9,10.46,5.14,297,258,238,2.92,1.5,11
29.69,2.96,165.0,11.19,5.197,299,259,239,2.94,1.5999999999999943,12
29.9,2.98,165.1,12.74,5.377000000000001,301,261,240,2.96,1.6999999999999886,14
30.1,3.01,165.1,13.6,5.526,300,259,239,2.98,1.6999999999999886,12
30.3,3.03,165.3,14.53,5.68,300,258,238,3.0,1.9000000000000057,11
30.5,3.05,165.6,17.73,6.09,303,256,237,3.02,2.1999999999999886,9
30.7,3.07,165.8,19.61,6.284,303,254,234,3.04,2.4000000000000057,7
30.91,3.09,165.9,21.63,6.476,302,251,231,3.06,2.5,4
31.11,3.11,166.0,24.1,6.648,303,249,229,3.08,2.5999999999999943,2
31.31,3.13,166.3,28.01,6.925,305,247,227,3.1,2.9000000000000057,0
31.51,3.15,166.4,29.19,7.032,303,244,225,3.12,3.0,-3
31.71,3.17,166.4,30.32,7.141,301,242,222,3.14,3.0,-5
31.92,3.19,166.6,32.85,7.354,304,241,222,3.16,3.1999999999999886,-6
32.12,3.21,166.7,33.49,7.44,303,240,221,3.18,3.299999999999983,-7
32.32,3.23,166.8,33.68,7.539,300,237,219,3.2,3.4000000000000057,-10
32.52,3.25,166.9,34.12,7.643,299,236,217,3.22,3.5,-11
32.72,3.27,167.0,35.34,7.81,304,236,218,3.24,3.5999999999999943,-11
