时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,130.0,21.39,21.041,299,244,224,0.0,0.0,0
0.2,0.02,130.1,21.33,21.041999999999998,300,243,224,0.02,0.09999999999999432,-1
0.4,0.04,130.1,21.63,21.041999999999998,300,243,224,0.04,0.09999999999999432,-1
0.61,0.06,130.0,22.08,21.055,300,243,224,0.06,0.0,-1
0.81,0.08,130.1,22.89,21.075,300,244,224,0.08,0.09999999999999432,0
1.01,0.1,130.1,23.65,21.094,300,243,224,0.1,0.09999999999999432,-1
1.21,0.12,130.1,25.64,21.15,300,243,224,0.12,0.09999999999999432,-1
1.41,0.14,130.2,26.51,21.183000000000003,300,243,223,0.14,0.19999999999998863,-1
1.62,0.16,130.3,27.36,21.206999999999997,300,242,223,0.16,0.30000000000001137,-2
1.82,0.18,130.2,28.84,21.241,300,242,223,0.18,0.19999999999998863,-2
2.02,0.2,130.2,29.25,21.264,300,242,222,0.2,0.19999999999998863,-2
2.22,0.22,130.3,29.67,21.285,301,242,223,0.22,0.30000000000001137,-2
2.42,0.24,130.3,30.0,21.313000000000002,301,241,222,0.24,0.30000000000001137,-3
2.63,0.26,130.3,30.46,21.353,301,241,222,0.26,0.30000000000001137,-3
2.83,0.28,130.3,30.64,21.368000000000002,301,241,222,0.28,0.30000000000001137,-3
3.03,0.3,130.3,30.64,21.384,301,241,222,0.3,0.30000000000001137,-3
3.23,0.32,130.3,30.68,21.404,301,240,221,0.32,0.30000000000001137,-4
3.43,0.34,130.3,30.53,21.41,301,240,221,0.34,0.30000000000001137,-4
3.64,0.36,130.4,30.43,21.4,301,240,221,0.36,0.4000000000000057,-4
3.84,0.38,130.4,30.18,21.419,301,240,221,0.38,0.4000000000000057,-4
4.04,0.4,130.3,30.01,21.418000000000003,301,240,221,0.4,0.30000000000001137,-4
4.24,0.42,130.3,29.78,21.414,300,240,221,0.42,0.30000000000001137,-4
4.44,0.44,130.4,29.49,21.421,301,240,221,0.44,0.4000000000000057,-4
4.65,0.46,130.3,27.47,21.405,300,240,221,0.46,0.30000000000001137,-4
4.85,0.48,130.3,26.69,21.392,300,240,221,0.48,0.30000000000001137,-4
5.05,0.5,130.3,25.79,21.369,300,240,221,0.5,0.30000000000001137,-4
5.25,0.52,130.3,23.72,21.316999999999997,300,240,221,0.52,0.30000000000001137,-4
5.45,0.54,130.3,22.7,21.3,300,240,221,0.54,0.30000000000001137,-4
5.66,0.56,130.3,21.54,21.268,300,240,221,0.56,0.30000000000001137,-4
