时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,122.8,20.77,4.698,299.0,228.0,196.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,122.7,20.74,4.7010000000000005,300.0,228.0,196.0,-0.42441318157840363,5.000000000000189e-06,-0.0001666666666666572,0.0,0.0
0.4,0.04,122.8,20.8,4.691,300.0,228.0,196.0,0.42441318157840363,-1.1666666666667603e-05,0.0,0.0,0.0
0.61,0.06,122.8,20.97,4.696000000000001,299.0,227.0,196.0,2.8294212105225736,-3.333333333332966e-06,0.0,-1.0,0.0
0.81,0.08,122.8,21.11,4.694,299.0,227.0,196.0,4.81001605788839,-6.666666666667413e-06,0.0,-1.0,0.0
1.01,0.1,122.7,21.47,4.711,300.0,228.0,196.0,9.902974236829033,2.16666666666665e-05,-0.0001666666666666572,0.0,0.0
1.21,0.12,123.0,21.99,4.73,299.0,228.0,196.0,17.259469384187746,5.333333333333338e-05,0.0003333333333333381,0.0,0.0
1.41,0.14,122.9,22.81,4.774,299.0,228.0,195.0,28.86009634733034,0.00012666666666666604,0.00016666666666668086,0.0,-1.0
1.62,0.16,122.9,23.2,4.803999999999999,299.0,227.0,196.0,34.37746770784939,0.00017666666666666498,0.00016666666666668086,-1.0,0.0
1.82,0.18,122.8,23.81,4.811,299.0,227.0,196.0,43.00720239994326,0.00018833333333333256,0.0,-1.0,0.0
2.02,0.2,122.8,24.52,4.877,299.0,227.0,195.0,53.05164769729844,0.0002983333333333323,0.0,-1.0,-1.0
2.22,0.22,122.9,24.81,4.898,300.0,227.0,195.0,57.15430845255618,0.00033333333333333213,0.00016666666666668086,-1.0,-1.0
2.42,0.24,122.9,25.05,4.899,300.0,227.0,195.0,60.54961390518331,0.00033499999999999936,0.00016666666666668086,-1.0,-1.0
2.63,0.26,123.0,25.33,4.919,300.0,227.0,195.0,64.5108035999149,0.000368333333333332,0.0003333333333333381,-1.0,-1.0
2.83,0.28,123.0,25.54,4.9510000000000005,300.0,227.0,195.0,67.48169587096362,0.00042166666666666687,0.0003333333333333381,-1.0,-1.0
3.03,0.3,123.1,25.7,4.9639999999999995,300.0,227.0,195.0,69.74523283938169,0.0004433333333333319,0.0004999999999999952,-1.0,-1.0
3.23,0.32,122.9,25.78,4.97,300.0,226.0,195.0,70.87700132359075,0.0004533333333333323,0.00016666666666668086,-2.0,-1.0
3.43,0.34,123.0,25.75,4.989,300.0,227.0,195.0,70.45258814201235,0.00048499999999999916,0.0003333333333333381,-1.0,-1.0
3.64,0.36,123.0,25.79,4.979,300.0,226.0,195.0,71.01847238411685,0.0004683333333333328,0.0003333333333333381,-2.0,-1.0
3.84,0.38,122.9,25.69,4.981,299.0,226.0,195.0,69.60376177885558,0.0004716666666666658,0.00016666666666668086,-2.0,-1.0
4.04,0.4,123.0,25.48,4.998,300.0,227.0,195.0,66.63286950780686,0.0004999999999999997,0.0003333333333333381,-1.0,-1.0
4.24,0.42,122.9,25.44,4.999,300.0,227.0,195.0,66.06698526570236,0.0005016666666666655,0.00016666666666668086,-1.0,-1.0
4.44,0.44,123.0,25.42,4.992,300.0,227.0,195.0,65.7840431446501,0.0004899999999999993,0.0003333333333333381,-1.0,-1.0
4.65,0.46,123.0,25.06,4.989,300.0,226.0,195.0,60.69108496570941,0.00048499999999999916,0.0003333333333333381,-2.0,-1.0
4.85,0.48,123.1,24.32,4.985,300.0,226.0,195.0,50.222226486775874,0.0004783333333333332,0.0004999999999999952,-2.0,-1.0
5.05,0.5,123.1,23.93,4.962,300.0,226.0,195.0,44.704855126256824,0.00043999999999999893,0.0004999999999999952,-2.0,-1.0
5.25,0.52,123.0,23.19,4.952,300.0,227.0,195.0,34.23599664732329,0.0004233333333333326,0.0003333333333333381,-1.0,-1.0
5.45,0.54,123.0,21.98,4.905,300.0,227.0,195.0,17.117998323661645,0.00034499999999999977,0.0003333333333333381,-1.0,-1.0
5.66,0.56,122.9,21.45,4.871,300.0,226.0,194.0,9.62003211577678,0.0002883333333333334,0.00016666666666668086,-2.0,-2.0
5.86,0.58,122.9,20.82,4.8469999999999995,300.0,227.0,195.0,0.7073553026306559,0.0002483333333333319,0.00016666666666668086,-1.0,-1.0
6.06,0.6,122.9,19.8,4.781000000000001,300.0,227.0,195.0,-13.722692871034516,0.00013833333333333365,0.00016666666666668086,-1.0,-1.0
6.26,0.62,122.8,19.24,4.774,300.0,226.0,195.0,-21.64507226049778,0.00012666666666666604,0.0,-2.0,-1.0
6.46,0.64,122.8,18.71,4.736000000000001,300.0,227.0,195.0,-29.143038468382596,6.333333333333377e-05,0.0,-1.0,-1.0
6.67,0.66,122.8,18.19,4.716,300.0,227.0,195.0,-36.499533615741306,2.9999999999999655e-05,0.0,-1.0,-1.0
6.87,0.68,122.7,17.2,4.656000000000001,300.0,227.0,195.0,-50.505168607828125,-6.99999999999997e-05,-0.0001666666666666572,-1.0,-1.0
7.07,0.7,122.8,16.87,4.635,300.0,227.0,195.0,-55.173713605190365,-0.00010500000000000102,0.0,-1.0,-1.0
7.27,0.72,122.7,16.64,4.598,299.0,227.0,195.0,-58.42754799729134,-0.00016666666666666756,-0.0001666666666666572,-1.0,-1.0
7.47,0.74,122.7,16.02,4.559,300.0,227.0,195.0,-67.19875374991136,-0.00023166666666666705,-0.0001666666666666572,-1.0,-1.0
7.68,0.76,122.7,16.0,4.531000000000001,300.0,227.0,195.0,-67.48169587096362,-0.000278333333333333,-0.0001666666666666572,-1.0,-1.0
7.88,0.78,122.6,15.77,4.519,299.0,227.0,195.0,-70.73553026306459,-0.00029833333333333377,-0.0003333333333333381,-1.0,-1.0
8.08,0.8,122.7,15.76,4.524,299.0,227.0,195.0,-70.87700132359072,-0.00029000000000000065,-0.0001666666666666572,-1.0,-1.0
8.28,0.82,122.6,15.53,4.486000000000001,299.0,227.0,196.0,-74.1308357156917,-0.0003533333333333329,-0.0003333333333333381,-1.0,0.0
8.48,0.84,122.7,15.6,4.501,299.0,227.0,195.0,-73.14053829200878,-0.0003283333333333334,-0.0001666666666666572,-1.0,-1.0
8.69,0.86,122.5,15.64,4.489,300.0,227.0,196.0,-72.57465404990425,-0.0003483333333333342,-0.0004999999999999952,-1.0,0.0
8.89,0.88,122.6,15.69,4.494,299.0,227.0,195.0,-71.86729874727362,-0.00034000000000000105,-0.0003333333333333381,-1.0,-1.0
9.09,0.9,122.6,15.74,4.485,300.0,227.0,195.0,-71.15994344464298,-0.0003550000000000001,-0.0003333333333333381,-1.0,-1.0
9.29,0.92,122.6,15.65,4.4910000000000005,300.0,227.0,196.0,-72.43318298937814,-0.00034499999999999977,-0.0003333333333333381,-1.0,0.0
9.49,0.94,122.7,15.93,4.493,299.0,228.0,195.0,-68.47199329464652,-0.00034166666666666677,-0.0001666666666666572,0.0,-1.0
9.7,0.96,122.5,16.42,4.504,299.0,227.0,196.0,-61.53991132886617,-0.0003233333333333347,-0.0004999999999999952,-1.0,0.0
9.9,0.99,122.7,16.84,4.5169999999999995,299.0,227.0,195.0,-55.598126786768766,-0.00030166666666666823,-0.0001666666666666572,-1.0,-1.0
10.1,1.01,122.6,17.39,4.535,300.0,228.0,196.0,-47.81721845783165,-0.00027166666666666707,-0.0003333333333333381,0.0,0.0
10.3,1.03,122.6,18.41,4.602,299.0,228.0,196.0,-33.38717028416648,-0.00016000000000000015,-0.0003333333333333381,0.0,0.0
